onet_soc_code,title,element_id,element_name,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
13-2052.00,Personal Financial Advisors,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",46.15,08/2024,Occupational Expert,O*NET
13-2053.00,Insurance Underwriters,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,40.0,08/2018,Occupational Expert,O*NET
13-2053.00,Insurance Underwriters,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",30.0,08/2018,Occupational Expert,O*NET
13-2053.00,Insurance Underwriters,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",36.67,08/2018,Occupational Expert,O*NET
13-2061.00,Financial Examiners,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,39.13,08/2020,Occupational Expert,O*NET
13-2061.00,Financial Examiners,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),7,"Over 2 years, up to and including 4 years",47.83,08/2020,Occupational Expert,O*NET
13-2061.00,Financial Examiners,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),7,"Over 2 years, up to and including 4 years",52.17,08/2020,Occupational Expert,O*NET
13-2071.00,Credit Counselors,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",31.03,08/2026,Occupational Expert,O*NET
13-2071.00,Credit Counselors,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",33.33,08/2026,Occupational Expert,O*NET
13-2071.00,Credit Counselors,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",33.33,08/2026,Occupational Expert,O*NET
13-2072.00,Loan Officers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",40.47,08/2020,Incumbent,O*NET
13-2072.00,Loan Officers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,18.84,08/2020,Incumbent,O*NET
13-2072.00,Loan Officers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",32.37,08/2020,Incumbent,O*NET
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",40.81,08/2022,Incumbent,O*NET
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",25.88,08/2022,Incumbent,O*NET
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",34.81,08/2022,Incumbent,O*NET
13-2082.00,Tax Preparers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,28.57,08/2025,Occupational Expert,O*NET
13-2082.00,Tax Preparers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",23.81,08/2025,Occupational Expert,O*NET
13-2082.00,Tax Preparers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),6,"Over 1 year, up to and including 2 years",38.1,08/2025,Occupational Expert,O*NET
13-2099.01,Financial Quantitative Analysts,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",35.0,08/2023,Occupational Expert,O*NET
13-2099.01,Financial Quantitative Analysts,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,30.0,08/2023,Occupational Expert,O*NET
13-2099.01,Financial Quantitative Analysts,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",30.0,08/2023,Occupational Expert,O*NET
13-2099.04,"Fraud Examiners, Investigators and Analysts",3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",33.33,08/2026,Occupational Expert,O*NET
13-2099.04,"Fraud Examiners, Investigators and Analysts",3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,29.17,08/2026,Occupational Expert,O*NET
13-2099.04,"Fraud Examiners, Investigators and Analysts",3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",20.83,08/2026,Occupational Expert,O*NET
15-1211.00,Computer Systems Analysts,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",30.81,08/2023,Incumbent,O*NET
15-1211.00,Computer Systems Analysts,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",24.39,08/2023,Incumbent,O*NET
15-1211.00,Computer Systems Analysts,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",23.89,08/2023,Incumbent,O*NET
15-1211.01,Health Informatics Specialists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",40.0,08/2024,Occupational Expert,O*NET
15-1211.01,Health Informatics Specialists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",23.81,08/2024,Occupational Expert,O*NET
15-1211.01,Health Informatics Specialists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",23.81,08/2024,Occupational Expert,O*NET
15-1212.00,Information Security Analysts,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",24.07,08/2018,Incumbent,O*NET
15-1212.00,Information Security Analysts,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,22.65,08/2018,Incumbent,O*NET
15-1212.00,Information Security Analysts,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",27.36,08/2018,Incumbent,O*NET
15-1221.00,Computer and Information Research Scientists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",21.07,08/2019,Incumbent,O*NET
15-1221.00,Computer and Information Research Scientists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,26.62,08/2019,Incumbent,O*NET
15-1221.00,Computer and Information Research Scientists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",28.1,08/2019,Incumbent,O*NET
15-1231.00,Computer Network Support Specialists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",30.7,07/2014,Incumbent,O*NET
15-1231.00,Computer Network Support Specialists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",25.25,07/2014,Incumbent,O*NET
15-1231.00,Computer Network Support Specialists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",44.71,07/2014,Incumbent,O*NET
15-1232.00,Computer User Support Specialists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",13.52,08/2023,Incumbent,O*NET
15-1232.00,Computer User Support Specialists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",19.31,08/2023,Incumbent,O*NET
15-1232.00,Computer User Support Specialists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",20.71,08/2023,Incumbent,O*NET
15-1241.00,Computer Network Architects,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",35.0,08/2024,Occupational Expert,O*NET
15-1241.00,Computer Network Architects,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",25.0,08/2024,Occupational Expert,O*NET
15-1241.00,Computer Network Architects,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",26.32,08/2024,Occupational Expert,O*NET
15-1241.01,Telecommunications Engineering Specialists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",38.71,08/2026,Occupational Expert,O*NET
15-1241.01,Telecommunications Engineering Specialists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),6,"Over 1 year, up to and including 2 years",25.81,08/2026,Occupational Expert,O*NET
15-1241.01,Telecommunications Engineering Specialists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",25.81,08/2026,Occupational Expert,O*NET
15-1242.00,Database Administrators,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",11.16,08/2023,Incumbent,O*NET
15-1242.00,Database Administrators,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),7,"Over 2 years, up to and including 4 years",13.6,08/2023,Incumbent,O*NET
15-1242.00,Database Administrators,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",19.5,08/2023,Incumbent,O*NET
15-1243.00,Database Architects,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",33.33,08/2023,Occupational Expert,O*NET
15-1243.00,Database Architects,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,33.33,08/2023,Occupational Expert,O*NET
15-1243.00,Database Architects,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",28.57,08/2023,Occupational Expert,O*NET
15-1243.01,Data Warehousing Specialists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",43.48,08/2018,Occupational Expert,O*NET
15-1243.01,Data Warehousing Specialists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,26.09,08/2018,Occupational Expert,O*NET
15-1243.01,Data Warehousing Specialists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",21.74,08/2018,Occupational Expert,O*NET
15-1244.00,Network and Computer Systems Administrators,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",43.33,08/2026,Occupational Expert,O*NET
15-1244.00,Network and Computer Systems Administrators,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",26.67,08/2026,Occupational Expert,O*NET
15-1244.00,Network and Computer Systems Administrators,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",20.0,08/2026,Occupational Expert,O*NET
15-1251.00,Computer Programmers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",12.91,08/2018,Incumbent,O*NET
15-1251.00,Computer Programmers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,9.92,08/2018,Incumbent,O*NET
15-1251.00,Computer Programmers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",10.51,08/2018,Incumbent,O*NET
15-1252.00,Software Developers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),9,"Over 6 years, up to and including 8 years",43.91,08/2025,Incumbent,O*NET
15-1252.00,Software Developers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,43.02,08/2025,Incumbent,O*NET
15-1252.00,Software Developers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",24.81,08/2025,Incumbent,O*NET
15-1253.00,Software Quality Assurance Analysts and Testers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),5,"Over 6 months, up to and including 1 year",29.41,08/2022,Occupational Expert,O*NET
15-1253.00,Software Quality Assurance Analysts and Testers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,23.53,08/2022,Occupational Expert,O*NET
15-1253.00,Software Quality Assurance Analysts and Testers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",23.53,08/2022,Occupational Expert,O*NET
15-1254.00,Web Developers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",29.17,07/2017,Occupational Expert,O*NET
15-1254.00,Web Developers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,41.67,07/2017,Occupational Expert,O*NET
15-1254.00,Web Developers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",29.17,07/2017,Occupational Expert,O*NET
15-1255.00,Web and Digital Interface Designers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",18.1,08/2026,Incumbent,O*NET
15-1255.00,Web and Digital Interface Designers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",29.17,08/2026,Incumbent,O*NET
15-1255.00,Web and Digital Interface Designers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),6,"Over 1 year, up to and including 2 years",40.24,08/2026,Incumbent,O*NET
15-1255.01,Video Game Designers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",30.0,08/2022,Occupational Expert,O*NET
15-1255.01,Video Game Designers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,45.0,08/2022,Occupational Expert,O*NET
15-1255.01,Video Game Designers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",30.0,08/2022,Occupational Expert,O*NET
15-1299.01,Web Administrators,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",40.0,08/2018,Occupational Expert,O*NET
15-1299.01,Web Administrators,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,30.0,08/2018,Occupational Expert,O*NET
15-1299.01,Web Administrators,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",35.0,08/2018,Occupational Expert,O*NET
15-1299.02,Geographic Information Systems Technologists and Technicians,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",39.72,08/2026,Incumbent,O*NET
15-1299.02,Geographic Information Systems Technologists and Technicians,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,44.42,08/2026,Incumbent,O*NET
15-1299.02,Geographic Information Systems Technologists and Technicians,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",38.84,08/2026,Incumbent,O*NET
15-1299.03,Document Management Specialists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",35.0,08/2021,Occupational Expert,O*NET
15-1299.03,Document Management Specialists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",31.58,08/2021,Occupational Expert,O*NET
15-1299.03,Document Management Specialists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",30.0,08/2021,Occupational Expert,O*NET
15-1299.04,Penetration Testers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",45.0,08/2026,Occupational Expert,O*NET
15-1299.04,Penetration Testers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",35.0,08/2026,Occupational Expert,O*NET
15-1299.04,Penetration Testers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",35.0,08/2026,Occupational Expert,O*NET
15-1299.05,Information Security Engineers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",42.11,08/2025,Occupational Expert,O*NET
15-1299.05,Information Security Engineers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,26.32,08/2025,Occupational Expert,O*NET
15-1299.05,Information Security Engineers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",31.58,08/2025,Occupational Expert,O*NET
15-1299.06,Digital Forensics Analysts,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",44.44,08/2026,Occupational Expert,O*NET
15-1299.06,Digital Forensics Analysts,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",25.93,08/2026,Occupational Expert,O*NET
15-1299.06,Digital Forensics Analysts,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",33.33,08/2026,Occupational Expert,O*NET
15-1299.07,Blockchain Engineers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",37.5,08/2026,Occupational Expert,O*NET
15-1299.07,Blockchain Engineers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",31.25,08/2026,Occupational Expert,O*NET
15-1299.07,Blockchain Engineers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",25.0,08/2026,Occupational Expert,O*NET
15-1299.08,Computer Systems Engineers/Architects,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",27.27,08/2024,Occupational Expert,O*NET
15-1299.08,Computer Systems Engineers/Architects,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",31.82,08/2024,Occupational Expert,O*NET
15-1299.08,Computer Systems Engineers/Architects,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",27.27,08/2024,Occupational Expert,O*NET
15-1299.09,Information Technology Project Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",38.1,08/2019,Occupational Expert,O*NET
15-1299.09,Information Technology Project Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",33.33,08/2019,Occupational Expert,O*NET
15-1299.09,Information Technology Project Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",30.0,08/2019,Occupational Expert,O*NET
15-2011.00,Actuaries,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,44.12,08/2026,Occupational Expert,O*NET
15-2011.00,Actuaries,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,50.0,08/2026,Occupational Expert,O*NET
15-2011.00,Actuaries,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",20.59,08/2026,Occupational Expert,O*NET
15-2021.00,Mathematicians,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",30.0,08/2025,Occupational Expert,O*NET
15-2021.00,Mathematicians,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,45.0,08/2025,Occupational Expert,O*NET
15-2021.00,Mathematicians,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),1,None or short demonstration,35.0,08/2025,Occupational Expert,O*NET
15-2031.00,Operations Research Analysts,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",30.0,08/2024,Occupational Expert,O*NET
15-2031.00,Operations Research Analysts,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,28.57,08/2024,Occupational Expert,O*NET
15-2031.00,Operations Research Analysts,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",33.33,08/2024,Occupational Expert,O*NET
15-2041.00,Statisticians,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,28.57,08/2024,Occupational Expert,O*NET
15-2041.00,Statisticians,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,38.1,08/2024,Occupational Expert,O*NET
15-2041.00,Statisticians,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",30.0,08/2024,Occupational Expert,O*NET
15-2041.01,Biostatisticians,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",20.83,08/2021,Occupational Expert,O*NET
15-2041.01,Biostatisticians,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",25.0,08/2021,Occupational Expert,O*NET
15-2041.01,Biostatisticians,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",33.33,08/2021,Occupational Expert,O*NET
15-2051.00,Data Scientists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,28.0,08/2026,Occupational Expert,O*NET
15-2051.00,Data Scientists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,44.0,08/2026,Occupational Expert,O*NET
15-2051.00,Data Scientists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",29.17,08/2026,Occupational Expert,O*NET
15-2051.01,Business Intelligence Analysts,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",36.36,08/2024,Occupational Expert,O*NET
15-2051.01,Business Intelligence Analysts,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,27.27,08/2024,Occupational Expert,O*NET
15-2051.01,Business Intelligence Analysts,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",31.82,08/2024,Occupational Expert,O*NET
15-2051.02,Clinical Data Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",35.0,07/2016,Occupational Expert,O*NET
15-2051.02,Clinical Data Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",35.0,07/2016,Occupational Expert,O*NET
15-2051.02,Clinical Data Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",45.0,07/2016,Occupational Expert,O*NET
15-2099.01,Bioinformatics Technicians,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",35.2,07/2014,Incumbent,O*NET
15-2099.01,Bioinformatics Technicians,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,36.31,07/2014,Incumbent,O*NET
15-2099.01,Bioinformatics Technicians,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",21.04,07/2014,Incumbent,O*NET
17-1011.00,"Architects, Except Landscape and Naval",3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),9,"Over 6 years, up to and including 8 years",21.74,08/2026,Occupational Expert,O*NET
17-1011.00,"Architects, Except Landscape and Naval",3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,21.74,08/2026,Occupational Expert,O*NET
17-1011.00,"Architects, Except Landscape and Naval",3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",34.78,08/2026,Occupational Expert,O*NET
17-1012.00,Landscape Architects,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",36.84,08/2025,Occupational Expert,O*NET
17-1012.00,Landscape Architects,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,36.84,08/2025,Occupational Expert,O*NET
17-1012.00,Landscape Architects,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),7,"Over 2 years, up to and including 4 years",35.0,08/2025,Occupational Expert,O*NET
17-1021.00,Cartographers and Photogrammetrists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",25.26,08/2018,Incumbent,O*NET
17-1021.00,Cartographers and Photogrammetrists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,24.9,08/2018,Incumbent,O*NET
17-1021.00,Cartographers and Photogrammetrists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",36.05,08/2018,Incumbent,O*NET
17-1022.00,Surveyors,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",25.0,08/2023,Occupational Expert,O*NET
17-1022.00,Surveyors,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,25.0,08/2023,Occupational Expert,O*NET
17-1022.00,Surveyors,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",20.0,08/2023,Occupational Expert,O*NET
17-1022.01,Geodetic Surveyors,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",29.63,08/2022,Occupational Expert,O*NET
17-1022.01,Geodetic Surveyors,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,25.93,08/2022,Occupational Expert,O*NET
17-1022.01,Geodetic Surveyors,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",25.93,08/2022,Occupational Expert,O*NET
17-2011.00,Aerospace Engineers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",26.23,08/2026,Incumbent,O*NET
17-2011.00,Aerospace Engineers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,20.2,08/2026,Incumbent,O*NET
