level,anzsco_code,anzsco_title,northern_australia,date,vacancies
4,2311,Air Transport Professionals,Northern Australia,2026-07-01,16
4,2312,Marine Transport Professionals,Northern Australia,2026-07-01,19
4,2321,Architects and Landscape Architects,Northern Australia,2026-07-01,3
4,2322,Surveyors and Spatial Scientists,Northern Australia,2026-07-01,39
4,2323,"Fashion, Industrial and Jewellery Designers",Northern Australia,2026-07-01,1
4,2324,"Graphic and Web Designers, and Illustrators",Northern Australia,2026-07-01,4
4,2325,Interior Designers,Northern Australia,2026-07-01,1
4,2326,Urban and Regional Planners,Northern Australia,2026-07-01,11
4,2331,Chemical and Materials Engineers,Northern Australia,2026-07-01,3
4,2332,Civil Engineering Professionals,Northern Australia,2026-07-01,136
4,2333,Electrical Engineers,Northern Australia,2026-07-01,25
4,2334,Electronics Engineers,Northern Australia,2026-07-01,0
4,2335,"Industrial, Mechanical and Production Engineers",Northern Australia,2026-07-01,42
4,2336,Mining Engineers,Northern Australia,2026-07-01,174
4,2339,Other Engineering Professionals,Northern Australia,2026-07-01,16
4,2341,Agricultural and Forestry Scientists,Northern Australia,2026-07-01,4
4,2342,"Chemists, and Food and Wine Scientists",Northern Australia,2026-07-01,5
4,2343,Environmental Scientists,Northern Australia,2026-07-01,55
4,2344,Geologists and Geophysicists,Northern Australia,2026-07-01,18
4,2345,Life Scientists,Northern Australia,2026-07-01,13
4,2346,Medical Laboratory Scientists,Northern Australia,2026-07-01,4
4,2347,Veterinarians,Northern Australia,2026-07-01,3
4,2349,Other Natural and Physical Science Professionals,Northern Australia,2026-07-01,6
4,2411,Early Childhood (Pre-primary School) Teachers,Northern Australia,2026-07-01,79
4,2412,Primary School Teachers,Northern Australia,2026-07-01,45
4,2413,Middle School Teachers (Aus) / Intermediate School Teachers (NZ),Northern Australia,2026-07-01,0
4,2414,Secondary School Teachers,Northern Australia,2026-07-01,58
4,2415,Special Education Teachers,Northern Australia,2026-07-01,1
4,2421,University Lecturers and Tutors,Northern Australia,2026-07-01,20
4,2422,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),Northern Australia,2026-07-01,6
4,2491,Education Advisers and Reviewers,Northern Australia,2026-07-01,6
4,2492,Private Tutors and Teachers,Northern Australia,2026-07-01,6
4,2493,Teachers of English to Speakers of Other Languages,Northern Australia,2026-07-01,0
4,2511,Nutrition Professionals,Northern Australia,2026-07-01,10
4,2512,Medical Imaging Professionals,Northern Australia,2026-07-01,54
4,2513,Occupational and Environmental Health Professionals,Northern Australia,2026-07-01,107
4,2514,Optometrists and Orthoptists,Northern Australia,2026-07-01,7
4,2515,Pharmacists,Northern Australia,2026-07-01,44
4,2519,Other Health Diagnostic and Promotion Professionals,Northern Australia,2026-07-01,8
4,2521,Chiropractors and Osteopaths,Northern Australia,2026-07-01,0
4,2522,Complementary Health Therapists,Northern Australia,2026-07-01,4
4,2523,Dental Practitioners,Northern Australia,2026-07-01,26
4,2524,Occupational Therapists,Northern Australia,2026-07-01,91
4,2525,Physiotherapists,Northern Australia,2026-07-01,69
4,2526,Podiatrists,Northern Australia,2026-07-01,9
4,2527,Audiologists and Speech Pathologists/Therapists,Northern Australia,2026-07-01,55
4,2531,General Practitioners and Resident Medical Officers,Northern Australia,2026-07-01,307
4,2532,Anaesthetists,Northern Australia,2026-07-01,6
4,2533,Specialist Physicians,Northern Australia,2026-07-01,33
4,2534,Psychiatrists,Northern Australia,2026-07-01,12
4,2535,Surgeons,Northern Australia,2026-07-01,1
4,2539,Other Medical Practitioners,Northern Australia,2026-07-01,9
4,2541,Midwives,Northern Australia,2026-07-01,16
4,2542,Nurse Educators and Researchers,Northern Australia,2026-07-01,11
4,2543,Nurse Managers,Northern Australia,2026-07-01,12
4,2544,Registered Nurses,Northern Australia,2026-07-01,498
4,2611,ICT Business and Systems Analysts,Northern Australia,2026-07-01,23
4,2612,Multimedia Specialists and Web Developers,Northern Australia,2026-07-01,1
4,2613,Software and Applications Programmers,Northern Australia,2026-07-01,24
4,2621,"Database and Systems Administrators, and ICT Security Specialists",Northern Australia,2026-07-01,8
4,2631,Computer Network Professionals,Northern Australia,2026-07-01,6
4,2632,ICT Support and Test Engineers,Northern Australia,2026-07-01,6
4,2633,Telecommunications Engineering Professionals,Northern Australia,2026-07-01,1
4,2711,Barristers,Northern Australia,2026-07-01,4
4,2713,Solicitors,Northern Australia,2026-07-01,36
4,2721,Counsellors,Northern Australia,2026-07-01,47
4,2722,Ministers of Religion,Northern Australia,2026-07-01,5
4,2723,Psychologists,Northern Australia,2026-07-01,27
4,2724,Social Professionals,Northern Australia,2026-07-01,16
4,2725,Social Workers,Northern Australia,2026-07-01,114
4,2726,"Welfare, Recreation and Community Arts Workers",Northern Australia,2026-07-01,227
1,3,TECHNICIANS AND TRADES WORKERS,Northern Australia,2026-07-01,2743
2,31,"Engineering, ICT and Science Technicians",Northern Australia,2026-07-01,356
2,32,Automotive and Engineering Trades Workers,Northern Australia,2026-07-01,1096
2,33,Construction Trades Workers,Northern Australia,2026-07-01,331
2,34,Electrotechnology and Telecommunications Trades Workers,Northern Australia,2026-07-01,410
2,35,Food Trades Workers,Northern Australia,2026-07-01,299
2,36,Skilled Animal and Horticultural Workers,Northern Australia,2026-07-01,94
2,3A,"Hairdressers, Printing, Clothing and Wood Trades Workers",Northern Australia,2026-07-01,67
2,3B,"Jewellers, Arts and Other Trades Workers",Northern Australia,2026-07-01,90
4,3111,Agricultural Technicians,Northern Australia,2026-07-01,11
4,3112,Medical Technicians,Northern Australia,2026-07-01,29
4,3113,Primary Products Inspectors,Northern Australia,2026-07-01,1
4,3114,Science Technicians,Northern Australia,2026-07-01,13
