anzsco_code,occupation,industry_rank,industry
2114,Visual Arts and Crafts Professionals,3,Information Media and Telecommunications
2121,"Artistic Directors, Media Producers and Presenters",1,Information Media and Telecommunications
2121,"Artistic Directors, Media Producers and Presenters",2,"Professional, Scientific and Technical Services"
2121,"Artistic Directors, Media Producers and Presenters",3,Arts and Recreation Services
2122,"Authors, and Book and Script Editors",1,Arts and Recreation Services
2122,"Authors, and Book and Script Editors",2,Information Media and Telecommunications
2122,"Authors, and Book and Script Editors",3,Education and Training
2123,"Film, Television, Radio and Stage Directors",1,Information Media and Telecommunications
2123,"Film, Television, Radio and Stage Directors",2,"Professional, Scientific and Technical Services"
2123,"Film, Television, Radio and Stage Directors",3,Arts and Recreation Services
2124,Journalists and Other Writers,1,Information Media and Telecommunications
2124,Journalists and Other Writers,2,"Professional, Scientific and Technical Services"
2124,Journalists and Other Writers,3,Arts and Recreation Services
2211,Accountants,1,"Professional, Scientific and Technical Services"
2211,Accountants,2,Financial and Insurance Services
2211,Accountants,3,Public Administration and Safety
2212,"Auditors, Company Secretaries and Corporate Treasurers",1,Financial and Insurance Services
2212,"Auditors, Company Secretaries and Corporate Treasurers",2,"Professional, Scientific and Technical Services"
2212,"Auditors, Company Secretaries and Corporate Treasurers",3,Public Administration and Safety
2221,Financial Brokers,1,Financial and Insurance Services
2222,Financial Dealers,1,Financial and Insurance Services
2223,Financial Investment Advisers and Managers,1,Financial and Insurance Services
2223,Financial Investment Advisers and Managers,2,"Professional, Scientific and Technical Services"
2231,Human Resource Professionals,1,Administrative and Support Services
2231,Human Resource Professionals,2,Public Administration and Safety
2231,Human Resource Professionals,3,Health Care and Social Assistance
2232,ICT Trainers,1,Education and Training
2232,ICT Trainers,2,"Professional, Scientific and Technical Services"
2232,ICT Trainers,3,Information Media and Telecommunications
2233,Training and Development Professionals,1,Education and Training
2233,Training and Development Professionals,2,Public Administration and Safety
2233,Training and Development Professionals,3,Financial and Insurance Services
2241,"Actuaries, Mathematicians and Statisticians",1,Financial and Insurance Services
2241,"Actuaries, Mathematicians and Statisticians",2,"Professional, Scientific and Technical Services"
2241,"Actuaries, Mathematicians and Statisticians",3,Education and Training
2242,"Archivists, Curators and Records Managers",1,Arts and Recreation Services
2242,"Archivists, Curators and Records Managers",2,Public Administration and Safety
2242,"Archivists, Curators and Records Managers",3,Health Care and Social Assistance
2243,Economists,1,Public Administration and Safety
2243,Economists,2,"Professional, Scientific and Technical Services"
2243,Economists,3,Education and Training
2244,Intelligence and Policy Analysts,1,Public Administration and Safety
2244,Intelligence and Policy Analysts,2,"Professional, Scientific and Technical Services"
2245,Land Economists and Valuers,1,"Rental, Hiring and Real Estate Services"
2245,Land Economists and Valuers,2,Construction
2245,Land Economists and Valuers,3,Public Administration and Safety
2246,Librarians,1,Information Media and Telecommunications
2246,Librarians,2,Education and Training
2247,Management and Organisation Analysts,1,"Professional, Scientific and Technical Services"
2247,Management and Organisation Analysts,2,Financial and Insurance Services
2247,Management and Organisation Analysts,3,Public Administration and Safety
2249,Other Information and Organisation Professionals,1,Public Administration and Safety
2249,Other Information and Organisation Professionals,2,"Professional, Scientific and Technical Services"
2249,Other Information and Organisation Professionals,3,Financial and Insurance Services
2251,Advertising and Marketing Professionals,1,"Professional, Scientific and Technical Services"
2251,Advertising and Marketing Professionals,2,Retail Trade
2251,Advertising and Marketing Professionals,3,Manufacturing
2252,ICT Sales Professionals,1,"Professional, Scientific and Technical Services"
2252,ICT Sales Professionals,2,Information Media and Telecommunications
2252,ICT Sales Professionals,3,Retail Trade
2253,Public Relations Professionals,1,Public Administration and Safety
2253,Public Relations Professionals,2,"Professional, Scientific and Technical Services"
2253,Public Relations Professionals,3,Health Care and Social Assistance
2254,Technical Sales Representatives,1,Wholesale Trade
2254,Technical Sales Representatives,2,Retail Trade
2254,Technical Sales Representatives,3,Manufacturing
2311,Air Transport Professionals,1,"Transport, Postal and Warehousing"
2311,Air Transport Professionals,2,Public Administration and Safety
2312,Marine Transport Professionals,1,"Transport, Postal and Warehousing"
2312,Marine Transport Professionals,2,Public Administration and Safety
2312,Marine Transport Professionals,3,Manufacturing
2321,Architects and Landscape Architects,1,"Professional, Scientific and Technical Services"
2321,Architects and Landscape Architects,2,Construction
2322,Surveyors and Spatial Scientists,1,"Professional, Scientific and Technical Services"
2322,Surveyors and Spatial Scientists,2,Public Administration and Safety
2322,Surveyors and Spatial Scientists,3,Mining
2323,"Fashion, Industrial and Jewellery Designers",1,"Professional, Scientific and Technical Services"
2323,"Fashion, Industrial and Jewellery Designers",2,Manufacturing
2323,"Fashion, Industrial and Jewellery Designers",3,Retail Trade
2324,"Graphic and Web Designers, and Illustrators",1,"Professional, Scientific and Technical Services"
2324,"Graphic and Web Designers, and Illustrators",2,Information Media and Telecommunications
