occupation_label,males,females,persons
Occupational Therapists,1743,17689,19429
Physiotherapists,10315,18604,28913
Podiatrists,1938,2783,4723
Audiologists and Speech Pathologists \ Therapists,930,12681,13613
"Medical Practitioners, nfd",1133,883,2019
General Practitioners and Resident Medical Officers,32981,31696,64680
Anaesthetists,3688,1935,5623
Specialist Physicians,5726,5055,10784
Psychiatrists,2307,2022,4330
Surgeons,5859,1663,7519
Other Medical Practitioners,7389,7210,14591
"Midwifery and Nursing Professionals, nfd",15,250,262
Midwives,254,19316,19573
Nurse Educators and Researchers,608,5644,6251
Nurse Managers,2694,18142,20829
Registered Nurses,30614,232130,262742
"ICT Professionals, nfd",18416,4695,23114
"Business and Systems Analysts, and Programmers, nfd",746,215,959
ICT Business and Systems Analysts,23585,11212,34793
Multimedia Specialists and Web Developers,8121,2016,10137
Software and Applications Programmers,94374,22555,116927
"Database and Systems Administrators, and ICT Security Specialists",27105,7192,34293
"ICT Network and Support Professionals, nfd",736,136,869
Computer Network Professionals,19468,2023,21491
ICT Support and Test Engineers,11191,4447,15635
Telecommunications Engineering Professionals,7313,1809,9119
"Legal, Social and Welfare Professionals, nfd",102,211,315
"Legal Professionals, nfd",223,348,564
Barristers,5477,3371,8848
Judicial and Other Legal Professionals,5482,8436,13923
Solicitors,31897,37813,69704
"Social and Welfare Professionals, nfd",349,1185,1536
Counsellors,5529,19476,25005
Ministers of Religion,12202,5326,17532
Psychologists,6002,26504,32498
Social Professionals,3437,6591,10026
Social Workers,4315,23938,28251
"Welfare, Recreation and Community Arts Workers",8106,28520,36627
Total Professionals,1261968,1624951,2886921
"Technicians and Trades Workers, nfd",21839,1825,23663
"Engineering, ICT and Science Technicians, nfd",3497,2309,5805
"Agricultural, Medical and Science Technicians, nfd",197,260,458
Agricultural Technicians,1466,939,2403
Medical Technicians,7027,25696,32719
Primary Products Inspectors,1590,911,2508
Science Technicians,6736,7858,14593
"Building and Engineering Technicians, nfd",6179,1394,7574
"Architectural, Building and Surveying Technicians",60079,9398,69476
Civil Engineering Draftspersons and Technicians,8572,1739,10318
Electrical Engineering Draftspersons and Technicians,8242,803,9039
Electronic Engineering Draftspersons and Technicians,3399,330,3730
Mechanical Engineering Draftspersons and Technicians,3928,320,4250
Safety Inspectors,3387,988,4378
Other Building and Engineering Technicians,21951,3567,25517
"ICT and Telecommunications Technicians, nfd",546,126,670
ICT Support Technicians,40384,11920,52302
Telecommunications Technical Specialists,3374,432,3810
"Automotive and Engineering Trades Workers, nfd",5347,131,5474
"Automotive Electricians and Mechanics, nfd",545,27,562
Automotive Electricians,8087,315,8398
Motor Mechanics,89079,1713,90793
"Fabrication Engineering Trades Workers, nfd",550,15,561
"Metal Casting, Forging and Finishing Trades Workers",2166,121,2281
Sheetmetal Trades Workers,4397,46,4443
Structural Steel and Welding Trades Workers,62039,739,62776
"Mechanical Engineering Trades Workers, nfd",372,17,383
Aircraft Maintenance Engineers,10857,622,11478
Metal Fitters and Machinists,84819,1706,86520
Precision Metal Trades Workers,5386,464,5852
Toolmakers and Engineering Patternmakers,2157,57,2220
"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters, nfd",1036,66,1100
Panelbeaters,10062,147,10203
Vehicle Body Builders and Trimmers,5061,226,5293
Vehicle Painters,8581,285,8873
"Construction Trades Workers, nfd",2018,63,2082
"Bricklayers, and Carpenters and Joiners, nfd",1525,25,1552
Bricklayers and Stonemasons,21374,200,21574
Carpenters and Joiners,112142,1221,113362
"Floor Finishers and Painting Trades Workers, nfd",110,10,117
Floor Finishers,7796,229,8021
Painting Trades Workers,38778,2409,41191
"Glaziers, Plasterers and Tilers, nfd",102,5,110
Glaziers,8446,140,8586
Plasterers,22641,289,22938
Roof Tilers,6315,72,6384
Wall and Floor Tilers,17098,446,17546
Plumbers,79619,835,80451
"Electrotechnology and Telecommunications Trades Workers, nfd",5459,241,5702
Electricians,129102,2811,131907
"Electronics and Telecommunications Trades Workers, nfd",650,71,717
Airconditioning and Refrigeration Mechanics,20731,250,20980
Electrical Distribution Trades Workers,6844,179,7025
Electronics Trades Workers,19568,1269,20838
Telecommunications Trades Workers,13318,681,13997
"Food Trades Workers, nfd",69,78,143
Bakers and Pastrycooks,16331,9765,26095
Butchers and Smallgoods Makers,12705,1072,13776
Chefs,65890,24558,90453
Cooks,16958,19979,36937
"Skilled Animal and Horticultural Workers, nfd",28,15,37
"Animal Attendants and Trainers, and Shearers, nfd",14,59,72
Animal Attendants and Trainers,5261,13382,18642
Shearers,2287,103,2395
Veterinary Nurses,486,12520,13012
"Horticultural Trades Workers, nfd",325,136,455
Florists,430,5746,6182
Gardeners,57904,6909,64815
Greenkeepers,12176,379,12554
Nurserypersons,1517,1157,2671
"Other Technicians and Trades Workers, nfd",236,191,431
Hairdressers,8758,44824,53579
"Printing Trades Workers, nfd",163,78,235
Print Finishers and Screen Printers,1759,650,2412
Graphic Pre-press Trades Workers,982,483,1470
Printers,6519,1166,7691
"Textile, Clothing and Footwear Trades Workers, nfd",29,21,54
Canvas and Leather Goods Makers,1304,475,1775
Clothing Trades Workers,1069,5062,6135
Upholsterers,1886,259,2146
"Wood Trades Workers, nfd",117,15,133
Cabinetmakers,21840,767,22605
Wood Machinists and Other Wood Trades Workers,2734,686,3416
"Miscellaneous Technicians and Trades Workers, nfd",103,20,121
Boat Builders and Shipwrights,3432,74,3509
"Chemical, Gas, Petroleum and Power Generation Plant Operators",7279,483,7761
"Gallery, Library and Museum Technicians",1017,5512,6528
Jewellers,2164,1547,3707
Performing Arts Technicians,8796,3443,12242
Signwriters,4672,714,5383
Other Miscellaneous Technicians and Trades Workers,10982,8253,19237
Total Technicians and Trade Workers,1294807,259507,1554313
"Community and Personal Service Workers, nfd",804,2055,2863
"Health and Welfare Support Workers, nfd",435,1052,1480
Ambulance Officers and Paramedics,10718,8437,19156
"Dental Hygienists, Technicians and Therapists",2700,4943,7642
Diversional Therapists,472,4061,4530
Enrolled and Mothercraft Nurses,4375,37377,41756
Indigenous Health Workers,503,1340,1849
Massage Therapists,3506,12603,16108
Welfare Support Workers,18357,52960,71313
"Carers and Aides, nfd",1302,4236,5542
Child Carers,7101,155386,162490
Education Aides,11808,91497,103305
"Personal Carers and Assistants, nfd",1783,5645,7432
Aged and Disabled Carers,53078,174454,227535
Dental Assistants,667,25774,26438
Nursing Support and Personal Care Workers,21884,83518,105403
Special Care Workers,852,1990,2839
"Hospitality Workers, nfd",2270,4733,6998
Bar Attendants and Baristas,35072,56901,91976
Cafe Workers,7492,36040,43533
Gaming Workers,3471,2229,5698
Hotel Service Managers,2555,4837,7390
Waiters,22246,64627,86874
Other Hospitality Workers,2299,2673,4974
"Protective Service Workers, nfd",63,39,106
"Defence Force Members, Fire Fighters and Police, nfd",42,9,54
Defence Force Members - Other Ranks,14007,2976,16982
Fire and Emergency Workers,13509,1566,15074
Police,42862,17322,60187
"Prison and Security Officers, nfd",29,32,57
Prison Officers,13916,5948,19859
Security Officers and Guards,40272,9068,49339
"Sports and Personal Service Workers, nfd",59,110,168
"Personal Service and Travel Workers, nfd",40,156,196
Beauty Therapists,946,29961,30901
Driving Instructors,3666,1134,4801
Funeral Workers,1998,1983,3981
"Gallery, Museum and Tour Guides",1900,2403,4304
Personal Care Consultants,619,3600,4218
Tourism and Travel Advisers,2224,8051,10276
Travel Attendants,1582,5027,6610
Other Personal Service Workers,5378,12067,17443
"Sports and Fitness Workers, nfd",176,179,355
Fitness Instructors,11682,18440,30121
Outdoor Adventure Guides,1362,1020,2383
"Sports Coaches, Instructors and Officials",19916,20157,40078
Sportspersons,6802,2768,9572
Total Community and Personal Service Workers,398812,983392,1382205
"Clerical and Administrative Workers, nfd",2237,5095,7334
"Office Managers and Program Administrators, nfd",177,439,618
"Contract, Program and Project Administrators",53596,71564,125162
"Office and Practice Managers, nfd",19,88,109
Office Managers,11834,99990,111828
Practice Managers,2815,24489,27298
"Personal Assistants and Secretaries, nfd",3,131,136
Personal Assistants,1478,49273,50751
Secretaries,1338,29120,30462
"General Clerical Workers, nfd",228,905,1140
General Clerks,33243,211604,244849
Keyboard Operators,7366,33867,41236
"Inquiry Clerks and Receptionists, nfd",181,449,630
"Call or Contact Centre Information Clerks, nfd",417,956,1376
Call or Contact Centre Workers,12308,26682,38996
Information Officers,15917,35152,51069
Receptionists,10451,150143,160598
"Numerical Clerks, nfd",498,1110,1606
"Accounting Clerks and Bookkeepers, nfd",146,493,640
Accounting Clerks,20805,82912,103709
Bookkeepers,7601,72169,79763
Payroll Clerks,3791,24726,28516
"Financial and Insurance Clerks, nfd",284,446,725
Bank Workers,14152,27848,41997
Credit and Loans Officers,14607,18136,32747
"Insurance, Money Market and Statistical Clerks",9321,20675,29996
"Clerical and Office Support Workers, nfd",137,185,319
Betting Clerks,462,666,1127
Couriers and Postal Deliverers,33730,6739,40470
Filing and Registry Clerks,2438,8455,10893
Mail Sorters,4904,4797,9701
Survey Interviewers,829,1250,2081
Switchboard Operators,439,1652,2096
Other Clerical and Office Support Workers,4257,4998,9260
"Other Clerical and Administrative Workers, nfd",137,175,312
"Logistics Clerks, nfd",2515,1659,4173
Purchasing and Supply Logistics Clerks,41066,33739,74803
Transport and Despatch Clerks,20047,11454,31503
"Miscellaneous Clerical and Administrative Workers, nfd",136,199,334
Conveyancers and Legal Executives,2729,13027,15758
Court and Legal Clerks,3138,10625,13767
Debt Collectors,2008,3834,5838
Human Resource Clerks,3211,10756,13960
Inspectors and Regulatory Officers,20739,24516,45252
"Insurance Investigators, Loss Adjusters and Risk Surveyors",3484,1754,5237
Library Assistants,718,4973,5688
Other Miscellaneous Clerical and Administrative Workers,6757,12681,19436
Total Clerical and Administrative Workers,378733,1146583,1525311
"Sales Workers, nfd",1532,1529,3066
"Sales Representatives and Agents, nfd",256,125,382
"Insurance Agents and Sales Representatives, nfd",16,22,38
"Auctioneers, and Stock and Station Agents",2486,330,2812
Insurance Agents,4751,5618,10369
Sales Representatives,48409,28095,76507
Real Estate Sales Agents,41882,43868,85751
"Sales Assistants and Salespersons, nfd",3446,2398,5836
Sales Assistants (General),174270,339817,514084
ICT Sales Assistants,9009,4685,13694
Motor Vehicle and Vehicle Parts Salespersons,26539,5676,32210
Pharmacy Sales Assistants,4474,30708,35186
Retail Supervisors,14000,19271,33271
Service Station Attendants,6096,5936,12033
Street Vendors and Related Salespersons,2485,2447,4935
Other Sales Assistants and Salespersons,7305,3274,10579
"Sales Support Workers, nfd",72,196,269
Checkout Operators and Office Cashiers,25492,70943,96436
"Miscellaneous Sales Support Workers, nfd",42,62,106
Models and Sales Demonstrators,1786,7126,8911
Retail and Wool Buyers,1854,2582,4438
Telemarketers,2045,2855,4902
Ticket Salespersons,4332,8407,12739
Visual Merchandisers,711,3965,4669
Other Sales Support Workers,3622,9592,13217
Total Sale Workers,386919,599519,986433
"Machinery Operators and Drivers, nfd",11318,903,12224
"Machine and Stationary Plant Operators, nfd",2546,220,2761
"Machine Operators, nfd",18208,2228,20432
"Clay, Concrete, Glass and Stone Processing Machine Operators",2781,112,2895
Industrial Spraypainters,4846,118,4962
Paper and Wood Processing Machine Operators,4997,423,5420
Photographic Developers and Printers,472,679,1156
Plastics and Rubber Production Machine Operators,5749,639,6391
Sewing Machinists,1625,6368,7992
Textile and Footwear Production Machine Operators,1142,613,1751
Other Machine Operators,8132,5205,13337
"Stationary Plant Operators, nfd",279,42,318
"Crane, Hoist and Lift Operators",10393,417,10808
"Drillers, Miners and Shot Firers",46106,5384,51488
Engineering Production Workers,16814,1077,17886
Other Stationary Plant Operators,18969,2534,21500
"Mobile Plant Operators, nfd",5105,206,5310
"Agricultural, Forestry and Horticultural Plant Operators",9619,897,10518
Earthmoving Plant Operators,33600,829,34434
Forklift Drivers,53265,2772,56046
Other Mobile Plant Operators,7485,865,8355
"Road and Rail Drivers, nfd",6240,782,7020
"Automobile, Bus and Rail Drivers, nfd",157,70,229
Automobile Drivers,33594,2335,35927
Bus and Coach Drivers,32665,4895,37560
Train and Tram Drivers,10885,1955,12839
Delivery Drivers,60846,9244,70090
Truck Drivers,154554,7006,161562
Storepersons,99087,35573,134656
Total Machinery Operators and Drivers,661478,94383,755863
"Labourers, nfd",18219,3149,21363
"Cleaners and Laundry Workers, nfd",6019,7234,13256
Car Detailers,12229,1630,13861
Commercial Cleaners,58165,82625,140795
Domestic Cleaners,7772,31366,39138
Housekeepers,4571,24768,29337
Laundry Workers,3699,8376,12073
Other Cleaners,10263,1228,11495
"Construction and Mining Labourers, nfd",1058,57,1116
Building and Plumbing Labourers,47326,2050,49379
Concreters,29440,334,29775
Fencers,8910,372,9284
Insulation and Home Improvement Installers,16727,475,17205
Paving and Surfacing Labourers,6278,250,6529
Railway Track Workers,4492,327,4817
Structural Steel Construction Workers,20177,272,20441
Other Construction and Mining Labourers,6007,490,6497
"Factory Process Workers, nfd",6351,2812,9160
"Food Process Workers, nfd",193,106,300
Food and Drink Factory Workers,22470,10467,32930
"Meat Boners and Slicers, and Slaughterers",6617,1326,7947
"Meat, Poultry and Seafood Process Workers",13148,5866,19012
"Packers and Product Assemblers, nfd",177,149,327
Packers,23128,34078,57203
Product Assemblers,16423,4868,21289
"Miscellaneous Factory Process Workers, nfd",429,153,578
Metal Engineering Process Workers,7330,573,7904
Plastics and Rubber Factory Workers,1259,425,1687
Product Quality Controllers,5495,5068,10564
Timber and Wood Process Workers,4529,449,4976
Other Factory Process Workers,7235,2308,9550
"Farm, Forestry and Garden Workers, nfd",3908,1199,5104
Aquaculture Workers,649,115,766
Crop Farm Workers,17781,8895,26678
Forestry and Logging Workers,1848,249,2098
Garden and Nursery Labourers,22119,5270,27387
Livestock Farm Workers,16949,11798,28741
Mixed Crop and Livestock Farm Workers,3059,745,3800
"Other Farm, Forestry and Garden Workers",9586,1379,10960
"Food Preparation Assistants, nfd",923,725,1646
Fast Food Cooks,34314,15716,50023
Food Trades Assistants,1687,2729,4421
Kitchenhands,51830,63725,115550
"Other Labourers, nfd",189,22,211
"Freight Handlers and Shelf Fillers, nfd",150,25,174
Freight and Furniture Handlers,12008,1018,13023
Shelf Fillers,37844,23768,61613
"Miscellaneous Labourers, nfd",245,35,280
Caretakers,5660,1027,6682
Deck and Fishing Hands,4690,568,5253
Handypersons,30286,1260,31541
Motor Vehicle Parts and Accessories Fitters,11709,272,11981
Printing Assistants and Table Workers,1178,993,2171
Recycling and Rubbish Collectors,2340,145,2483
Vending Machine Attendants,1958,3321,5275
Other Miscellaneous Labourers,43300,15162,58462
Total Labourers,692324,393802,1086120
Inadequately described,80028,53786,133815
Not stated,51798,40864,92659
Total,6200207,5849207,12049410
