anzsco4_code,occupation,skill_level,employment_may_2025_thousands,employment_may_2030_thousands,employment_may_2035_thousands,change_5y_thousands,change_5y_pct,change_10y_thousands,change_10y_pct
1111,Chief Executives and Managing Directors,1,61.1931474092206,65.3877536346177,69.8156003671647,4.194606225397095,6.854699264520998,8.622452957944105,14.090553146878781
1112,General Managers,1,71.3232207735316,75.9364325674704,81.1273519272728,4.613211793938802,6.468036277535559,9.804131153741196,13.746057801948783
1113,Legislators,1,2.8300233042979,2.9980818503935103,3.13715558706066,0.16805854609561033,5.9384156250721745,0.30713228276276006,10.85264147105518
1211,Aquaculture Farmers,1,1.87342628649597,2.03589684857681,2.20232702500067,0.16247056208083976,8.672375489335233,0.3289007385046998,17.55610780501383
1212,Crop Farmers,1,33.1571161970379,32.8917729423759,34.684595855166,-0.2653432546619996,-0.800260351609541,1.527479658128101,4.606792849688655
1213,Livestock Farmers,1,78.8707065628769,76.57814172608549,79.8245496643315,-2.2925648367914135,-2.9067380485094887,0.9538431014545949,1.209375626290576
1214,Mixed Crop and Livestock Farmers,1,27.5863301143859,26.846328348800203,27.984511858035702,-0.7400017655856956,-2.682494418493871,0.3981817436498041,1.443402373562396
1311,"Advertising, Public Relations and Sales Managers",1,165.39522882996602,180.877568502329,194.351351246657,15.482339672362997,9.36081396173741,28.956122416690988,17.50722957459627
1321,Corporate Services Managers,1,21.673195128345,24.400450106263097,26.412464777034202,2.727254977918097,12.583539075654299,4.739269648689202,21.8669634109048
1322,Finance Managers,1,76.3017952531336,85.761343136816,92.97445246963949,9.45954788368239,12.397543009702513,16.672657216505883,21.850937007699255
1323,Human Resource Managers,1,92.88904449310459,104.40110500636,113.121209433154,11.512060513255406,12.39334582035665,20.2321649400494,21.781002324285176
1324,Policy and Planning Managers,1,39.317417308810604,44.0651169931837,47.304204775761306,4.747699684373096,12.075309136109476,7.986787466950702,20.313611660247453
1325,Research and Development Managers,1,19.796648144175098,22.3326002105873,24.3075461368501,2.5359520664122037,12.810007269631521,4.510897992675002,22.78617046594463
1331,Construction Managers,1,128.187768551921,147.311066271144,156.627423036549,19.12329771922299,14.918192223213023,28.439654484627994,22.185934591028342
