state,anzsic_level,nfd_indicator,code_text,anzsic_title,covid_adjusted,industry_1_digit_code,trend_data_for_feb_2026_000,qtr_change_to_feb_2026_000s,qtr_change_to_feb_2026_pct,1_year_change_to_feb_2026_000s,1_year_change_to_feb_2026_pct,5_year_change_to_feb_2026_000s,5_year_change_to_feb_2026_pct,10_year_change_to_feb_2026_000s,10_year_change_to_feb_2026_pct,share_of_state_emp_pct,share_of_industry_emp_pct
ACT,1,N,A,"Agriculture, Forestry and Fishing",,A,0.731449633026435,0.0049287559297515,0.67840527163483,0.0198702571472348,2.79241611277503,0.0185492386676671,2.60193974003221,0.0724702023223939,10.9973390588183,0.262678004137799,0.248968088385537
ACT,1,N,B,Mining,,B,0.250845714041026,0.00678173816959013,2.77867233186536,0.0259488483078585,11.5381102458964,0.0789536496647221,45.9321085887233,0.134338750335857,115.305339752749,0.0900836483274802,0.0798456908409203
ACT,1,N,C,Manufacturing,,C,4.40933790998544,-0.0264846908774503,-0.597063797643717,-0.100969788175733,-2.23864523072112,0.197235444379424,4.68258894435624,0.043498008645515,0.996326242567093,1.58348029647894,0.492077855848261
ACT,1,N,D,"Electricity, Gas, Water and Waste Services",,D,2.2816325177155,0.0134538850785231,0.593158091031023,0.059261801177211,2.66660286405866,0.425279219094668,22.9093901150512,0.270150610227552,13.4304270509164,0.819379283095149,1.08085387475276
ACT,1,N,E,Construction,,E,18.3307070713511,0.116115107286166,0.637483988196094,0.449388629023908,2.51317390534331,1.1641385161325,6.7814281717857,3.23902092661461,21.4622865566567,6.58291881016383,1.32922806677702
ACT,1,N,F,Wholesale Trade,,F,1.93371704119494,-0.0464197805050941,-2.34427136531104,-0.17293104056818,-8.20882434352529,-0.275201050364014,-12.4586353570851,-0.510656805159189,-20.8911090224947,0.694435966625169,0.576818296323463
ACT,1,N,G,Retail Trade,Y,G,16.7929397689573,-0.0661797002798643,-0.392545413778118,-0.255464018670775,-1.49846297549665,-0.166282263207187,-0.980482848162605,0.577013792894949,3.55831541008959,6.030676211928,1.24349246794636
ACT,1,N,H,Accommodation and Food Services,Y,H,15.4789111124564,-0.0537532592771868,-0.346065929133235,-0.209339318870414,-1.33437007387643,,0,1.42516226521826,10.1407978804057,5.5587825786762,1.59969109087245
ACT,1,N,I,"Transport, Postal and Warehousing",,I,5.76849297882712,-0.00169919089909509,-0.0294477349993651,0.0116748662150972,0.202800678894473,-0.081060635268404,-1.38575762555752,0.557047583666202,10.6889268029835,2.07157971532738,0.765976021642168
ACT,1,N,J,Information Media and Telecommunications,,J,3.58712749894821,0.00256190407842327,0.0714704197934013,0.0135616430487033,0.379498898175187,0.205043321414597,6.06263211237174,-0.147895287939793,-3.95968904015758,1.28820830507885,1.97911454562061
ACT,1,N,K,Financial and Insurance Services,,K,4.5023718934153,-0.0248270964137447,-0.548398611802178,-0.0821414808716723,-1.79171646291571,0.368339855444606,8.90994196613473,0.432435464589306,10.6251159484092,1.61689063668682,0.809857467389534
ACT,1,N,L,"Rental, Hiring and Real Estate Services",,L,3.67136572922647,-0.0153440217401881,-0.416198257434421,-0.0128841521655927,-0.349708966014122,0.852080138291138,30.223264398285,0.755679637388155,25.9177296041394,1.31845991667655,1.59522891904339
ACT,1,N,M,"Professional, Scientific and Technical Services",,M,38.9128239030047,0.265269814082366,0.686381894885299,1.06994996022346,2.8273485830945,7.61816153699397,24.343325541892,16.227129572564,71.5302310619151,13.9743633145517,2.76357174901493
ACT,1,N,N,Administrative and Support Services,,N,8.09291647858376,0.0585633541364921,0.728911876654923,0.247020559886096,3.14840475129701,0.989516702943737,13.9301846185981,2.05076571682102,33.9409888577941,2.90632608489047,1.83732834482382
