industry,occupation_rank,anzsco_code,occupation
Financial and Insurance Services,4,5523,"Insurance, Money Market and Statistical Clerks"
Financial and Insurance Services,5,5522,Credit and Loans Officers
Financial and Insurance Services,6,2613,Software and Applications Programmers
Financial and Insurance Services,7,2211,Accountants
Financial and Insurance Services,8,1322,Finance Managers
Financial and Insurance Services,9,2247,Management and Organisation Analysts
Financial and Insurance Services,10,1499,"Other Hospitality, Retail and Service Managers"
"Rental, Hiring and Real Estate Services",1,6121,Real Estate Sales Agents
"Rental, Hiring and Real Estate Services",2,1499,"Other Hospitality, Retail and Service Managers"
"Rental, Hiring and Real Estate Services",3,2245,Land Economists and Valuers
"Rental, Hiring and Real Estate Services",4,5311,General Clerks
"Rental, Hiring and Real Estate Services",5,2211,Accountants
"Rental, Hiring and Real Estate Services",6,5121,Office Managers
"Rental, Hiring and Real Estate Services",7,1311,"Advertising, Public Relations and Sales Managers"
"Rental, Hiring and Real Estate Services",8,5421,Receptionists
"Rental, Hiring and Real Estate Services",9,5211,Personal Assistants
"Rental, Hiring and Real Estate Services",10,3232,Metal Fitters and Machinists
"Professional, Scientific and Technical Services",1,2211,Accountants
"Professional, Scientific and Technical Services",2,2613,Software and Applications Programmers
"Professional, Scientific and Technical Services",3,2713,Solicitors
"Professional, Scientific and Technical Services",4,2247,Management and Organisation Analysts
"Professional, Scientific and Technical Services",5,2251,Advertising and Marketing Professionals
"Professional, Scientific and Technical Services",6,1351,ICT Managers
"Professional, Scientific and Technical Services",7,2332,Civil Engineering Professionals
"Professional, Scientific and Technical Services",8,3131,ICT Support Technicians
"Professional, Scientific and Technical Services",9,1311,"Advertising, Public Relations and Sales Managers"
"Professional, Scientific and Technical Services",10,2324,"Graphic and Web Designers, and Illustrators"
Administrative and Support Services,1,8112,Commercial Cleaners
Administrative and Support Services,2,3622,Gardeners
Administrative and Support Services,3,8113,Domestic Cleaners
Administrative and Support Services,4,2231,Human Resource Professionals
Administrative and Support Services,5,4516,Tourism and Travel Advisers
Administrative and Support Services,6,8414,Garden and Nursery Labourers
Administrative and Support Services,7,5311,General Clerks
Administrative and Support Services,8,1499,"Other Hospitality, Retail and Service Managers"
Administrative and Support Services,9,1493,Conference and Event Organisers
Administrative and Support Services,10,8116,Other Cleaners
Public Administration and Safety,1,4413,Police
Public Administration and Safety,2,5311,General Clerks
Public Administration and Safety,3,5111,"Contract, Program and Project Administrators"
Public Administration and Safety,4,4422,Security Officers and Guards
Public Administration and Safety,5,5995,Inspectors and Regulatory Officers
Public Administration and Safety,6,2244,Intelligence and Policy Analysts
Public Administration and Safety,7,8999,Other Miscellaneous Labourers
Public Administration and Safety,8,4421,Prison Officers
Public Administration and Safety,9,5412,Information Officers
Public Administration and Safety,10,1324,Policy and Planning Managers
Education and Training,1,2414,Secondary School Teachers
Education and Training,2,2412,Primary School Teachers
Education and Training,3,4221,Education Aides
Education and Training,4,2421,University Lecturers and Tutors
Education and Training,5,4211,Child Carers
Education and Training,6,2411,Early Childhood (Pre-primary School) Teachers
Education and Training,7,2492,Private Tutors and Teachers
Education and Training,8,5311,General Clerks
Education and Training,9,4523,"Sports Coaches, Instructors and Officials"
Education and Training,10,2422,Vocational Education Teachers
Health Care and Social Assistance,1,4231,Aged and Disabled Carers
Health Care and Social Assistance,2,2544,Registered Nurses
Health Care and Social Assistance,3,4211,Child Carers
Health Care and Social Assistance,4,4233,Nursing Support and Personal Care Workers
Health Care and Social Assistance,5,5421,Receptionists
Health Care and Social Assistance,6,2531,General Practitioners and Resident Medical Officers
Health Care and Social Assistance,7,4117,Welfare Support Workers
Health Care and Social Assistance,8,1342,Health and Welfare Services Managers
Health Care and Social Assistance,9,5311,General Clerks
Health Care and Social Assistance,10,2525,Physiotherapists
Arts and Recreation Services,1,4523,"Sports Coaches, Instructors and Officials"
Arts and Recreation Services,2,4524,Sportspersons
Arts and Recreation Services,3,4521,Fitness Instructors
Arts and Recreation Services,4,1491,"Amusement, Fitness and Sports Centre Managers"
Arts and Recreation Services,5,5421,Receptionists
Arts and Recreation Services,6,2112,Music Professionals
Arts and Recreation Services,7,2114,Visual Arts and Crafts Professionals
Arts and Recreation Services,8,3622,Gardeners
Arts and Recreation Services,9,1399,Other Specialist Managers
Arts and Recreation Services,10,2111,"Actors, Dancers and Other Entertainers"
Other Services,1,3212,Motor Mechanics
Other Services,2,3911,Hairdressers
Other Services,3,4511,Beauty Therapists
Other Services,4,3232,Metal Fitters and Machinists
Other Services,5,4518,Other Personal Service Workers
Other Services,6,3611,Animal Attendants and Trainers
Other Services,7,4521,Fitness Instructors
Other Services,8,3421,Airconditioning and Refrigeration Mechanics
Other Services,9,2722,Ministers of Religion
Other Services,10,8115,Laundry Workers
