classification_level,asced_field_code,field_name,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,detailed_field_code,detailed_field_name,data_source
detailed,020113,Networks and Communications,02,INFORMATION TECHNOLOGY,0201,Computer Science,020113,Networks and Communications,ASCED 2001
detailed,020115,Computer Graphics,02,INFORMATION TECHNOLOGY,0201,Computer Science,020115,Computer Graphics,ASCED 2001
detailed,020117,Operating Systems,02,INFORMATION TECHNOLOGY,0201,Computer Science,020117,Operating Systems,ASCED 2001
detailed,020119,Artificial Intelligence,02,INFORMATION TECHNOLOGY,0201,Computer Science,020119,Artificial Intelligence,ASCED 2001
detailed,020199,"Computer Science, n.e.c.",02,INFORMATION TECHNOLOGY,0201,Computer Science,020199,"Computer Science, n.e.c.",ASCED 2001
narrow,0203,Information Systems,02,INFORMATION TECHNOLOGY,0203,Information Systems,,,ASCED 2001
detailed,020301,Conceptual Modelling,02,INFORMATION TECHNOLOGY,0203,Information Systems,020301,Conceptual Modelling,ASCED 2001
detailed,020303,Database Management,02,INFORMATION TECHNOLOGY,0203,Information Systems,020303,Database Management,ASCED 2001
detailed,020305,Systems Analysis and Design,02,INFORMATION TECHNOLOGY,0203,Information Systems,020305,Systems Analysis and Design,ASCED 2001
detailed,020307,Decision Support Systems,02,INFORMATION TECHNOLOGY,0203,Information Systems,020307,Decision Support Systems,ASCED 2001
detailed,020399,"Information Systems, n.e.c.",02,INFORMATION TECHNOLOGY,0203,Information Systems,020399,"Information Systems, n.e.c.",ASCED 2001
narrow,0299,Other Information Technology,02,INFORMATION TECHNOLOGY,0299,Other Information Technology,,,ASCED 2001
detailed,029901,Security Science,02,INFORMATION TECHNOLOGY,0299,Other Information Technology,029901,Security Science,ASCED 2001
detailed,029999,"Information Technology, n.e.c.",02,INFORMATION TECHNOLOGY,0299,Other Information Technology,029999,"Information Technology, n.e.c.",ASCED 2001
broad,03,ENGINEERING AND RELATED TECHNOLOGIES,03,ENGINEERING AND RELATED TECHNOLOGIES,,,,,ASCED 2001
narrow,0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,,,ASCED 2001
detailed,030101,Manufacturing Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,030101,Manufacturing Engineering,ASCED 2001
