level,anzsco_code,anzsco_title,jsa_remoteness,date,vacancies
4,2331,Chemical and Materials Engineers,Regional,2026-07-01,6
4,2332,Civil Engineering Professionals,Regional,2026-07-01,480
4,2333,Electrical Engineers,Regional,2026-07-01,85
4,2334,Electronics Engineers,Regional,2026-07-01,7
4,2335,"Industrial, Mechanical and Production Engineers",Regional,2026-07-01,156
4,2336,Mining Engineers,Regional,2026-07-01,350
4,2339,Other Engineering Professionals,Regional,2026-07-01,55
4,2341,Agricultural and Forestry Scientists,Regional,2026-07-01,25
4,2342,"Chemists, and Food and Wine Scientists",Regional,2026-07-01,27
4,2343,Environmental Scientists,Regional,2026-07-01,177
4,2344,Geologists and Geophysicists,Regional,2026-07-01,71
4,2345,Life Scientists,Regional,2026-07-01,53
4,2346,Medical Laboratory Scientists,Regional,2026-07-01,20
4,2347,Veterinarians,Regional,2026-07-01,31
4,2349,Other Natural and Physical Science Professionals,Regional,2026-07-01,19
4,2411,Early Childhood (Pre-primary School) Teachers,Regional,2026-07-01,438
4,2412,Primary School Teachers,Regional,2026-07-01,145
4,2413,Middle School Teachers (Aus) / Intermediate School Teachers (NZ),Regional,2026-07-01,1
4,2414,Secondary School Teachers,Regional,2026-07-01,192
4,2415,Special Education Teachers,Regional,2026-07-01,12
4,2421,University Lecturers and Tutors,Regional,2026-07-01,86
4,2422,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),Regional,2026-07-01,17
4,2491,Education Advisers and Reviewers,Regional,2026-07-01,14
4,2492,Private Tutors and Teachers,Regional,2026-07-01,22
4,2493,Teachers of English to Speakers of Other Languages,Regional,2026-07-01,1
4,2511,Nutrition Professionals,Regional,2026-07-01,42
4,2512,Medical Imaging Professionals,Regional,2026-07-01,299
4,2513,Occupational and Environmental Health Professionals,Regional,2026-07-01,281
4,2514,Optometrists and Orthoptists,Regional,2026-07-01,47
4,2515,Pharmacists,Regional,2026-07-01,180
4,2519,Other Health Diagnostic and Promotion Professionals,Regional,2026-07-01,23
4,2521,Chiropractors and Osteopaths,Regional,2026-07-01,5
4,2522,Complementary Health Therapists,Regional,2026-07-01,21
4,2523,Dental Practitioners,Regional,2026-07-01,157
4,2524,Occupational Therapists,Regional,2026-07-01,454
4,2525,Physiotherapists,Regional,2026-07-01,398
4,2526,Podiatrists,Regional,2026-07-01,65
4,2527,Audiologists and Speech Pathologists/Therapists,Regional,2026-07-01,313
4,2531,General Practitioners and Resident Medical Officers,Regional,2026-07-01,2054
4,2532,Anaesthetists,Regional,2026-07-01,36
4,2533,Specialist Physicians,Regional,2026-07-01,161
4,2534,Psychiatrists,Regional,2026-07-01,40
4,2535,Surgeons,Regional,2026-07-01,41
4,2539,Other Medical Practitioners,Regional,2026-07-01,178
4,2541,Midwives,Regional,2026-07-01,75
4,2542,Nurse Educators and Researchers,Regional,2026-07-01,50
4,2543,Nurse Managers,Regional,2026-07-01,82
4,2544,Registered Nurses,Regional,2026-07-01,3234
4,2611,ICT Business and Systems Analysts,Regional,2026-07-01,128
4,2612,Multimedia Specialists and Web Developers,Regional,2026-07-01,5
4,2613,Software and Applications Programmers,Regional,2026-07-01,152
4,2621,"Database and Systems Administrators, and ICT Security Specialists",Regional,2026-07-01,43
4,2631,Computer Network Professionals,Regional,2026-07-01,29
4,2632,ICT Support and Test Engineers,Regional,2026-07-01,25
4,2633,Telecommunications Engineering Professionals,Regional,2026-07-01,5
4,2711,Barristers,Regional,2026-07-01,4
4,2713,Solicitors,Regional,2026-07-01,195
4,2721,Counsellors,Regional,2026-07-01,173
4,2722,Ministers of Religion,Regional,2026-07-01,23
4,2723,Psychologists,Regional,2026-07-01,151
4,2724,Social Professionals,Regional,2026-07-01,48
4,2725,Social Workers,Regional,2026-07-01,475
4,2726,"Welfare, Recreation and Community Arts Workers",Regional,2026-07-01,964
1,3,TECHNICIANS AND TRADES WORKERS,Regional,2026-07-01,9514
2,31,"Engineering, ICT and Science Technicians",Regional,2026-07-01,1350
2,32,Automotive and Engineering Trades Workers,Regional,2026-07-01,3265
2,33,Construction Trades Workers,Regional,2026-07-01,1080
2,34,Electrotechnology and Telecommunications Trades Workers,Regional,2026-07-01,1252
