state,anzsco_level,nfd_indicator,code_text,anzsco_title,covid_adjusted,skill_level,trend_data_for_feb_2026_000,qtr_change_to_feb_2026_000s,qtr_change_to_feb_2026_pct,1_year_change_to_feb_2026_000s,1_year_change_to_feb_2026_pct,5_year_change_to_feb_2026_000s,5_year_change_to_feb_2026_pct,10_year_change_to_feb_2026_000s,10_year_change_to_feb_2026_pct,share_of_state_emp_pct,share_of_occupation_emp_pct
ACT,4,N,1111,Chief Executives and Managing Directors,,1,1.02270276594091,-0.0115295109114728,-1.11478931469458,-0.0462416432893074,-4.32591656685006,-0.198923832387111,-16.2835217127205,-0.100991931543426,-8.98748848504145,0.347317893698746,1.67518047678545
ACT,4,N,1112,General Managers,,1,1.52966953280957,0.0321668366427008,2.14803196849246,0.126170256580612,8.98969160280708,0.482928404311289,46.1363742345855,0.828243220912224,118.079861970368,0.519487790474268,2.21358227586032
ACT,4,N,1113,Legislators,,1,0.121297418132474,-0.00342146466231907,-2.74334133344395,-0.0131658582842605,-9.79141564530695,-0.0209845497765037,-14.748565882873,0.00158496671217973,1.32397816047983,0.0411935561141341,4.43918519217819
ACT,4,N,1211,Aquaculture Farmers,,1,0.1,0,0,0,0,0,0,0,0,0.0339607856031568,4.69811024217169
ACT,4,N,1212,Crop Farmers,,1,0.119013418019125,-0.00194882037358986,-1.6110981406138,-0.00763578796014704,-6.02908474720066,-0.0325239081408282,-21.4626382588393,-0.00204340191719017,-1.68796926787367,0.0404178917324639,0.333092285865222
ACT,4,N,1213,Livestock Farmers,,1,0.143635814056003,0.000292910863592288,0.204342773216412,-6.84143067533338e-05,-0.0476077200600067,-0.0330738892619728,-18.7165099827364,0.0171113964249839,13.5241850904112,0.0487798508609082,0.194668108032809
ACT,4,N,1214,Mixed Crop and Livestock Farmers,,1,0.10046147175934,0.000461471759339971,0.461471759339971,0.000461471759339971,0.461471759339971,0.000461471759339971,0.461471759339971,0.000461471759339971,0.461471759339971,0.0341175050379654,0.346846205610052
ACT,4,N,1311,"Advertising, Public Relations and Sales Managers",,1,2.93684731098721,0.0172510863904454,0.590872335191761,0.0842865153719123,2.95476666094094,1.14591892199602,63.984631046108,1.52034381523078,107.330749255856,0.997376418776442,1.76177098494936
ACT,4,N,1321,Corporate Services Managers,,1,0.953020847222308,-0.0392864663664712,-3.95910277274766,-0.151926281333638,-13.7496426215605,0.023283985769978,2.50436298003786,0.541688375726595,131.691129017088,0.323653366678557,4.2222826200931
ACT,4,N,1322,Finance Managers,,1,1.59813041148112,0.00473049891631039,0.296880831924734,0.0269115264805773,1.7127802330716,0.184258414387974,13.0321850044984,0.264379871811512,19.8222878977806,0.54273764270195,2.03601249477403
ACT,4,N,1323,Human Resource Managers,,1,2.70641418922945,0.0217820705902256,0.811361468820781,0.076348558044137,2.90291455615609,0.534039009347387,24.5831849992127,1.31352530445831,94.302231773078,0.919119520337628,2.98754835859659
ACT,4,N,1324,Policy and Planning Managers,,1,4.55904585851806,0.0135448985864191,0.297984726124065,0.0604181588902168,1.34303531930893,0.871257107371231,23.6254613852349,-0.348205191746721,-7.09572810072419,1.54828778956092,11.2766032496831
ACT,4,N,1325,Research and Development Managers,,1,0.760661594536315,0.0144125601674595,1.93133384482688,0.0581848744334149,8.28281888471577,0.205061244393677,36.9080480854686,0.340966707777137,81.2415682282986,0.258326653286032,3.85673130699416
ACT,4,N,1331,Construction Managers,,1,1.61943160244103,-0.0359459110459883,-2.1714630501576,-0.13061016269835,-7.46325975185783,-0.19676127333225,-10.8337212394623,0.117203541227178,7.80198055496804,0.549971694494765,1.23403603258179
ACT,4,N,1332,Engineering Managers,,1,0.272838257179011,-0.00182732197633884,-0.665289761446705,-0.00716127922261806,-2.55760395701012,-0.0153769455717035,-5.3352305586057,0.000751000565694271,0.276014604668374,0.0926580155639534,0.903276944727557
ACT,4,N,1333,"Importers, Exporters and Wholesalers",,1,0.135485134896713,-0.001014664150008,-0.743344793980762,-0.00416066716176086,-2.97944306268416,-0.0269824805406495,-16.6079131942773,0.00779770616678196,6.10687069537183,0.0460118161864206,0.808003159940257
ACT,4,N,1334,Manufacturers,,1,0.138894386101953,-0.000869341548594388,-0.622007986770365,-0.00374099722394999,-2.62276942559358,-0.0301437743238203,-17.832526246082,-0.0323368221615767,-18.8848881518195,0.0471696246789052,0.712821832683776
ACT,4,N,1335,Production Managers,,1,0.156709399084442,-0.0105158984887328,-6.28846151948466,-0.0411261806245997,-20.7880608154935,-0.0785287310016273,-33.3826539825389,-0.0408552710794019,-20.6794418483425,0.0532197430430628,0.242758005467386
ACT,4,N,1336,"Supply, Distribution and Procurement Managers",,1,0.62584485547245,0.000796531532966771,0.127435192201858,0.000492010648611707,0.0786772863806683,0.0114000412555525,1.85534013662101,0.0636536780908074,11.3224256537196,0.212541829575385,1.19117355652875
ACT,4,N,1341,Child Care Centre Managers,,1,0.647931052050421,0.00789640189502483,1.23374600001854,0.0394907940588086,6.49049656726577,0.246356018845198,61.3474440576836,0.352830287078377,119.562647393273,0.220042475443122,4.95901061077821
ACT,4,N,1342,Health and Welfare Services Managers,,1,0.818676020838822,0.00239477933692056,0.293376745068199,0.0208992209739776,2.61968272046996,0.269551265499304,49.0874364847463,0.377476397151054,85.5568266346007,0.278028808221528,1.67179796724312
ACT,4,N,1343,School Principals,,1,0.630477906689982,0.00800574204254545,1.28612048814742,0.032031130039132,5.35237740244692,0.184839258009369,41.4773849971534,0.422015648445626,202.442231989518,0.214115250166256,2.33323604146114
ACT,4,N,1344,Other Education Managers,,1,0.691463779950662,0.00949420155030611,1.39217376419868,0.0425848659190385,6.56283707147296,0.241289315639935,53.5990676435587,0.3649510505195,111.772380560876,0.234826531832528,5.23515112922839
ACT,4,N,1351,ICT Managers,,1,4.66414004333093,0.0595998974409229,1.29437241402101,0.201547276631113,4.51637169618239,0.824899507941229,21.4860074626061,1.54171656211318,49.3756395116495,1.5839786003466,5.04470393613704
ACT,4,N,1391,Commissioned Officers (Management),,1,0.852744651712791,0.00287320930644486,0.338075756294338,0.0123381015227126,1.46811106123841,0.1465774528681,20.7567631444656,0.565207734778735,196.568753955291,0.289598782910567,23.6122917413815
ACT,4,N,1392,Senior Non-commissioned Defence Force Members,,1,0.1,0,0,0,0,0,0,0,0,0.0339607856031568,12.5
ACT,4,N,1399,Other Specialist Managers,,1,2.28368066302123,0.0571987408900587,2.56901887778673,0.221631840681707,10.7481374000763,0.750898384576232,48.9892397071562,0.862322680277682,60.6689300476716,0.775555893829392,3.0338082050281
ACT,4,N,1411,Cafe and Restaurant Managers,,2,1.27509493018502,-0.010887792361729,-0.846651527336765,-0.0408936172132386,-3.10744476417262,-0.232564062890475,-15.4255082852697,-0.015196999219421,-1.17779541769554,0.433032255476858,1.96544297678969
ACT,4,N,1412,Caravan Park and Camping Ground Managers,,2,0.100335576561009,3.51587639032119e-05,0.035053457079644,0.000115701452607156,0.115447612045025,-0.0012998456199864,-1.27892971967156,-0.00198434435497785,-1.93935290138386,0.0340747500395754,3.01858292151202
ACT,4,N,1413,Hotel and Motel Managers,,2,0.220759460521188,0.0019363462140532,0.884891077519071,0.0079362044887768,3.72901187432645,0.0205085776090779,10.2414417908355,-0.0681724785293473,-23.5946495750418,0.0749716470862864,1.1797359647304
ACT,4,N,1414,Licensed Club Managers,,2,0.300393385440435,0.0145446766240955,5.08824289755342,0.0569601984938067,23.3986989236168,0.11147881469539,59.0101728287757,0.0978085452852525,48.2802885005265,0.102015953595491,4.34247454883923
ACT,4,N,1419,Other Accommodation and Hospitality Managers,,2,0.171511169909784,-0.00122268831558744,-0.707845195000601,-0.00238602395271867,-1.37208881852645,0.0533476605793863,45.1473224531783,0.0518945927798004,43.3841144972808,0.0582465406985279,2.12442557312886
ACT,4,N,1421,Retail Managers,,2,3.48503138365796,0.0242478105041286,0.700645099341808,0.121099099024861,3.59992677551977,0.712016639170028,25.6766265157927,-0.0351631610703218,-0.998898232002005,1.18354403640681,1.40820916455903
ACT,4,N,1491,"Amusement, Fitness and Sports Centre Managers",,2,0.273702992577377,-0.00835136925650903,-2.96090767829626,-0.0309360157314155,-10.1549751961041,-0.110787883115094,-28.8141774276345,0.01943767530615,7.64464281434643,0.0929516864986272,1.44372278456897
ACT,4,N,1492,Call or Contact Centre and Customer Service Managers,,2,0.480387182763852,-0.0183350078893944,-3.67639704689667,-0.0722857363934569,-13.0792976981168,-0.0830968873204765,-14.7469807457096,0.0915928441524551,23.5581733210377,0.163143261203477,1.27120673724186
ACT,4,N,1493,Conference and Event Organisers,,2,0.619444141780753,-0.00291598577592089,-0.468536727661004,-0.0131604525565985,-2.08035993958974,-0.121397960355621,-16.3864823564353,-0.104913451954532,-14.4836546012483,0.210368096921476,1.89231819976319
ACT,4,N,1494,Transport Services Managers,,2,0.364503650855689,0.00284888002265438,0.787734671961405,0.0166250919660851,4.77899299662241,0.115880954912811,46.6091619163499,0.182147675391646,99.8857728287389,0.12378830338278,1.64083668224806
ACT,4,N,1499,"Other Hospitality, Retail and Service Managers",,2,2.1891965801236,-0.0330288218611816,-1.48629485702404,-0.117531217364264,-5.09514895915596,-0.125318471939635,-5.41445914676258,0.401377648616123,22.4506879048251,0.743468357007417,2.41993326551541
ACT,4,N,2111,"Actors, Dancers and Other Entertainers",,1,0.111308690244091,-0.00484695020747786,-4.17280657971905,-0.0198852231976459,-15.1571232810865,-0.0827002996021853,-42.6270451012158,-0.0318633742667852,-22.2553012528256,0.0378013056514776,1.47718283049191
ACT,4,N,2112,Music Professionals,,1,0.173304858393685,-0.00764967122473131,-4.22739969033235,-0.0300438663914318,-14.7745536261316,-0.0719059469112424,-29.3241347263735,0.0124925487685958,7.76840330054356,0.058855691398934,1.46431367564143
ACT,4,N,2113,Photographers,,2,0.196533214763021,-0.00521843007256692,-2.58656135211167,-0.0240655802165217,-10.9092074681339,-0.236224700439817,-54.585876338991,-0.0436483386790593,-18.1730603593523,0.0667442237046614,1.57031599186619
ACT,4,N,2114,Visual Arts and Crafts Professionals,,1,0.236302694939254,-0.0092456096716319,-3.76529159355557,-0.0371541993582492,-13.5868577947894,-0.0934411582576724,-28.3374981373401,-0.0288372108093758,-10.8762242816498,0.0802502516028016,1.72207019669506
ACT,4,N,2121,"Artistic Directors, and Media Producers and Presenters",,1,0.197869104469689,-0.00318237456338707,-1.58286553209764,-0.0127015707355761,-6.03197511866006,-0.0192904439242405,-8.8830742497435,0.0107231043623628,5.72980686534213,0.0671979023438376,1.57769293114067
ACT,4,N,2122,"Authors, and Book and Script Editors",,1,0.219053981440262,0.00189617295473746,0.873177422429117,0.0063878035056068,3.00367626279039,-0.0598031696018763,-21.4458081416888,-0.0640314857078561,-22.6191356105021,0.0743924529921062,3.46055735925017
