cricos_provider_code,institution_name,cricos_course_code,course_name,vet_national_code,dual_qualification,course_level,primary_broad_field_code,primary_broad_field_name,primary_narrow_field_code,primary_narrow_field_name,primary_detailed_field_code,primary_detailed_field_name,secondary_broad_field_code,secondary_broad_field_name,secondary_narrow_field_code,secondary_narrow_field_name,secondary_detailed_field_code,secondary_detailed_field_name,foundation_studies,work_component,work_component_hours_per_week,work_component_weeks,work_component_total_hours,course_language,duration_weeks,tuition_fee_aud,non_tuition_fee_aud,estimated_total_course_cost_aud,data_source
00098G,The University of New South Wales (UNSW),085793C,Doctor of Philosophy (Chemistry),,No,Doctoral Degree,01,Natural and Physical Sciences,0105,Chemical Sciences,010500,"Chemical Sciences, n.f.d.",,,,,,,No,No,,,,English,208,193000,4000,197000,CRICOS
00098G,The University of New South Wales (UNSW),085794B,Doctor of Philosophy (Mathematics),,No,Doctoral Degree,01,Natural and Physical Sciences,0101,Mathematical Sciences,010101,Mathematics,,,,,,,No,No,,,,English,208,193000,4000,197000,CRICOS
00098G,The University of New South Wales (UNSW),085795A,Doctor of Philosophy (Physics),,No,Doctoral Degree,01,Natural and Physical Sciences,0103,Physics and Astronomy,010301,Physics,,,,,,,No,No,,,,English,208,193000,4000,197000,CRICOS
00098G,The University of New South Wales (UNSW),085796M,Doctorate in Information Technology,,No,Doctoral Degree,02,Information Technology,0200,Information Technology,020000,"Information Technology, n.f.d.",,,,,,,No,No,,,,English,156,193000,4000,197000,CRICOS
00098G,The University of New South Wales (UNSW),085797K,Master of Science (Geography),,No,Masters Degree (Research),09,Society and Culture,0903,Studies in Human Society,090309,Human Geography,,,,,,,No,No,,,,English,104,92500,2000,94500,CRICOS
00098G,The University of New South Wales (UNSW),085798J,Master of Science (Oceanography),,No,Masters Degree (Research),01,Natural and Physical Sciences,0107,Earth Sciences,010713,Oceanography,,,,,,,No,No,,,,English,104,92500,2000,94500,CRICOS
00098G,The University of New South Wales (UNSW),085799G,Doctor of Philosophy (Geography),,No,Doctoral Degree,09,Society and Culture,0903,Studies in Human Society,090309,Human Geography,,,,,,,No,No,,,,English,208,193000,4000,197000,CRICOS
00098G,The University of New South Wales (UNSW),085800J,Doctor of Philosophy (Oceanography),,No,Doctoral Degree,01,Natural and Physical Sciences,0107,Earth Sciences,010713,Oceanography,,,,,,,No,No,,,,English,208,193000,4000,197000,CRICOS
00098G,The University of New South Wales (UNSW),085801G,Doctor of Philosophy (Southeast Asian Social Inquiry),,No,Doctoral Degree,09,Society and Culture,0915,Language and Literature,091513,Southeast Asian Languages,,,,,,,No,No,,,,English,208,193000,4000,197000,CRICOS
00098G,The University of New South Wales (UNSW),085910C,Master of Construction Project Management,,No,Masters Degree (Coursework),04,Architecture and Building,0403,Building,040303,Building Construction Management,,,,,,,No,No,,,,English,104,71000,1500,72500,CRICOS
00098G,The University of New South Wales (UNSW),085911B,Bachelor of Engineering (Honours)/Master of Biomedical Engineering,,Yes,Masters Degree (Coursework),03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",03,Engineering and Related Technologies,0399,Other Engineering and Related Technologies,039903,Biomedical Engineering,No,Yes,38.0,12,456,English,278,318500,5000,323500,CRICOS
00098G,The University of New South Wales (UNSW),085912A,Master of Materials Technology,,No,Masters Degree (Coursework),03,Engineering and Related Technologies,0303,Process and Resources Engineering,030305,Materials Engineering,,,,,,,No,No,,,,English,122,115000,2000,117000,CRICOS
00098G,The University of New South Wales (UNSW),085913M,Bachelor of Music (Honours)/Bachelor of Education (Secondary),,Yes,Bachelor Honours Degree,10,Creative Arts,1001,Performing Arts,100101,Music,07,Education,0701,Teacher Education,070105,Teacher Education: Secondary,No,Yes,40.0,16,640,English,278,251000,5000,256000,CRICOS
00098G,The University of New South Wales (UNSW),085914K,Bachelor of Music (Honours)/Bachelor of Science,,Yes,Bachelor Honours Degree,10,Creative Arts,1001,Performing Arts,100101,Music,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",No,No,,,,English,278,251000,5000,256000,CRICOS
00098G,The University of New South Wales (UNSW),085916G,Bachelor of Engineering (Honours)/Bachelor of Computer Science,,Yes,Bachelor Honours Degree,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",02,Information Technology,0201,Computer Science,020100,"Computer Science, n.f.d.",No,Yes,38.0,12,456,English,278,319500,5000,324500,CRICOS
00098G,The University of New South Wales (UNSW),085937C,Bachelor of Music (Honours)/Bachelor of Commerce,,Yes,Bachelor Honours Degree,10,Creative Arts,1001,Performing Arts,100101,Music,08,Management and Commerce,0800,Management and Commerce,080000,"Management and Commerce, n.f.d.",No,No,,,,English,260,251000,5000,256000,CRICOS
00098G,The University of New South Wales (UNSW),087814J,Bachelor of Actuarial Studies (Honours),,No,Bachelor Honours Degree,08,Management and Commerce,0811,"Banking, Finance and Related Fields",081103,Insurance and Actuarial Studies,,,,,,,No,No,,,,English,70,54500,1000,55500,CRICOS
00098G,The University of New South Wales (UNSW),087947G,Bachelor of Engineering (Honours)/Bachelor of Engineering Science,,Yes,Bachelor Honours Degree,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",No,Yes,38.0,12,456,English,278,316000,5000,321000,CRICOS
00098G,The University of New South Wales (UNSW),088355A,Master of City Planning,,No,Masters Degree (Coursework),04,Architecture and Building,0401,Architecture and Urban Environment,040103,Urban Design and Regional Planning,,,,,,,No,No,,,,English,122,95500,2000,97500,CRICOS
00098G,The University of New South Wales (UNSW),088356M,Graduate Diploma in City Planning,,No,Graduate Diploma,04,Architecture and Building,0401,Architecture and Urban Environment,040103,Urban Design and Regional Planning,,,,,,,No,No,,,,English,70,46500,1000,47500,CRICOS
00098G,The University of New South Wales (UNSW),088357K,Graduate Certificate in City Planning,,No,Graduate Certificate,04,Architecture and Building,0401,Architecture and Urban Environment,040103,Urban Design and Regional Planning,,,,,,,No,No,,,,English,34,23500,500,24000,CRICOS
00098G,The University of New South Wales (UNSW),088764F,Bachelor of Construction Management and Property,,No,Bachelor Degree,04,Architecture and Building,0403,Building,040303,Building Construction Management,,,,,,,No,No,,,,English,174,154000,3000,157000,CRICOS
00098G,The University of New South Wales (UNSW),088765E,Bachelor of Psychological Science/Bachelor of Laws,,No,Bachelor Degree,09,Society and Culture,0907,Behavioural Science,090701,Psychology,,,,,,,No,No,,,,English,260,304000,5000,309000,CRICOS
00098G,The University of New South Wales (UNSW),088768B,Graduate Certificate in Petroleum Engineering,,No,Graduate Certificate,03,Engineering and Related Technologies,0303,Process and Resources Engineering,030303,Mining Engineering,,,,,,,No,No,,,,English,52,43500,500,44000,CRICOS
00098G,The University of New South Wales (UNSW),088832K,Bachelor of Industrial Design (Honours),,No,Bachelor Honours Degree,04,Architecture and Building,0401,Architecture and Urban Environment,040199,"Architecture and Urban Environment, n.e.c.",,,,,,,No,No,,,,English,226,209000,4000,213000,CRICOS
00098G,The University of New South Wales (UNSW),088833J,Bachelor of Interior Architecture (Honours),,No,Bachelor Honours Degree,04,Architecture and Building,0401,Architecture and Urban Environment,040107,Interior and Environmental Design,,,,,,,No,No,,,,English,226,208000,4000,212000,CRICOS
00098G,The University of New South Wales (UNSW),088835G,Bachelor of Psychology (Honours)/Bachelor of Laws,,Yes,Bachelor Honours Degree,09,Society and Culture,0907,Behavioural Science,090701,Psychology,09,Society and Culture,0909,Law,090999,"Law, n.e.c.",No,No,,,,English,312,378500,6000,384500,CRICOS
00098G,The University of New South Wales (UNSW),088836F,Bachelor of Architectural Studies (Honours),,No,Bachelor Honours Degree,04,Architecture and Building,0401,Architecture and Urban Environment,040101,Architecture,,,,,,,No,No,,,,English,52,49500,1000,50500,CRICOS
00098G,The University of New South Wales (UNSW),088837E,Bachelor of City Planning (Honours),,No,Bachelor Honours Degree,04,Architecture and Building,0401,Architecture and Urban Environment,040103,Urban Design and Regional Planning,,,,,,,No,Yes,35.0,40,,English,208,209000,4000,213000,CRICOS
00098G,The University of New South Wales (UNSW),088838D,Bachelor of Construction Management and Property (Honours),,No,Bachelor Honours Degree,04,Architecture and Building,0403,Building,040303,Building Construction Management,,,,,,,No,No,,,,English,52,48000,1000,49000,CRICOS
00098G,The University of New South Wales (UNSW),088839C,Bachelor of Engineering (Honours)/Bachelor of Surveying,,Yes,Bachelor Honours Degree,03,Engineering and Related Technologies,0399,Other Engineering and Related Technologies,039999,"Engineering and Related Technologies, n.e.c.",03,Engineering and Related Technologies,0311,Geomatic Engineering,031101,Surveying,No,Yes,38.0,12,456,English,278,317000,5000,322000,CRICOS
00098G,The University of New South Wales (UNSW),088840K,Bachelor of Engineering (Honours) in Materials Science and Engineering/Master of Biomedical Engineering,,Yes,Masters Degree (Coursework),03,Engineering and Related Technologies,0303,Process and Resources Engineering,030305,Materials Engineering,03,Engineering and Related Technologies,0399,Other Engineering and Related Technologies,039903,Biomedical Engineering,No,Yes,38.0,12,456,English,278,318500,5000,323500,CRICOS
00098G,The University of New South Wales (UNSW),088841J,Bachelor of Engineering (Honours)/Master of Engineering (Electrical Engineering),,Yes,Masters Degree (Coursework),03,Engineering and Related Technologies,0313,Electrical and Electronic Engineering and Technology,031301,Electrical Engineering,03,Engineering and Related Technologies,0313,Electrical and Electronic Engineering and Technology,031301,Electrical Engineering,No,Yes,38.0,12,456,English,278,318000,5000,323000,CRICOS
00098G,The University of New South Wales (UNSW),088842G,Bachelor of Advanced Science (Honours),,No,Bachelor Honours Degree,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",,,,,,,No,No,,,,English,226,248000,4000,252000,CRICOS
00098G,The University of New South Wales (UNSW),088843G,Bachelor of Science (Advanced Mathematics)(Honours),,No,Bachelor Honours Degree,01,Natural and Physical Sciences,0101,Mathematical Sciences,010100,"Mathematical Sciences, n.f.d.",,,,,,,No,No,,,,English,226,246500,4000,250500,CRICOS
00098G,The University of New South Wales (UNSW),088847C,Bachelor of Nanoscience (Honours),,No,Bachelor Honours Degree,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",,,,,,,No,No,,,,English,208,251000,4000,255000,CRICOS
00098G,The University of New South Wales (UNSW),088848B,Bachelor of Medicinal Chemistry (Honours),,No,Bachelor Honours Degree,01,Natural and Physical Sciences,0105,Chemical Sciences,010501,Organic Chemistry,,,,,,,No,No,,,,English,226,249500,4000,253500,CRICOS
00098G,The University of New South Wales (UNSW),088849A,Bachelor of Music/Bachelor of Advanced Science (Honours),,Yes,Bachelor Honours Degree,10,Creative Arts,1001,Performing Arts,100101,Music,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",No,No,,,,English,312,306500,6000,312500,CRICOS
00098G,The University of New South Wales (UNSW),088852F,Bachelor of Music (Honours)/Bachelor of Advanced Science (Honours),,Yes,Bachelor Honours Degree,10,Creative Arts,1001,Performing Arts,100101,Music,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",No,No,,,,English,330,306500,6000,312500,CRICOS
00098G,The University of New South Wales (UNSW),088854D,Bachelor of Commerce /Bachelor of Advanced Science (Honours),,Yes,Bachelor Honours Degree,08,Management and Commerce,0800,Management and Commerce,080000,"Management and Commerce, n.f.d.",01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",No,Yes,15.0,10,150,English,278,311000,5000,316000,CRICOS
00098G,The University of New South Wales (UNSW),088857A,Bachelor of Commerce/Bachelor of Science (Advanced Mathematics) (Honours),,Yes,Bachelor Honours Degree,08,Management and Commerce,0800,Management and Commerce,080000,"Management and Commerce, n.f.d.",01,Natural and Physical Sciences,0101,Mathematical Sciences,010101,Mathematics,No,Yes,15.0,10,150,English,278,304000,5000,309000,CRICOS
00098G,The University of New South Wales (UNSW),088858M,Bachelor of Actuarial Studies/Bachelor of Science (Advanced Mathematics) (Honours),,Yes,Bachelor Honours Degree,08,Management and Commerce,0811,"Banking, Finance and Related Fields",081103,Insurance and Actuarial Studies,01,Natural and Physical Sciences,0101,Mathematical Sciences,010100,"Mathematical Sciences, n.f.d.",No,No,,,,English,278,310000,5000,315000,CRICOS
00098G,The University of New South Wales (UNSW),088859K,Bachelor of Economics /Bachelor of Advanced Science (Honours),,Yes,Bachelor Honours Degree,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",No,No,,,,English,278,308500,5000,313500,CRICOS
00098G,The University of New South Wales (UNSW),088860F,Bachelor of Economics /Bachelor of Science (Advanced Mathematics) (Honours),,Yes,Bachelor Honours Degree,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,01,Natural and Physical Sciences,0101,Mathematical Sciences,010100,"Mathematical Sciences, n.f.d.",No,No,,,,English,278,308500,5000,313500,CRICOS
00098G,The University of New South Wales (UNSW),088861E,Bachelor of Advanced Science (Honours)/Bachelor of Laws,,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",09,Society and Culture,0909,Law,090900,"Law, n.f.d.",No,No,,,,English,312,363500,6000,369500,CRICOS
00098G,The University of New South Wales (UNSW),088862D,Bachelor of Science (Advanced Mathematics) (Honours)/Bachelor of Laws,,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0101,Mathematical Sciences,010100,"Mathematical Sciences, n.f.d.",09,Society and Culture,0909,Law,090900,"Law, n.f.d.",No,No,,,,English,312,353000,6000,359000,CRICOS
00098G,The University of New South Wales (UNSW),088863C,Bachelor of Medicinal Chemistry (Honours)/Bachelor of Laws,,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0105,Chemical Sciences,010501,Organic Chemistry,09,Society and Culture,0909,Law,090900,"Law, n.f.d.",No,No,,,,English,364,386000,6500,392500,CRICOS
00098G,The University of New South Wales (UNSW),088864B,Bachelor of Science (Advanced Mathematics) (Honours)/Bachelor of Engineering (Honours),,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0101,Mathematical Sciences,010100,"Mathematical Sciences, n.f.d.",03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",No,Yes,38.0,12,456,English,330,384000,6000,390000,CRICOS
00098G,The University of New South Wales (UNSW),088865A,Bachelor of Science (Advanced Mathematics) (Honours)/Bachelor of Science (Computer Science),,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0101,Mathematical Sciences,010100,"Mathematical Sciences, n.f.d.",02,Information Technology,0201,Computer Science,020100,"Computer Science, n.f.d.",No,No,,,,English,278,318500,5000,323500,CRICOS
00098G,The University of New South Wales (UNSW),088866M,Bachelor of Advanced Science (Honours)/Bachelor of Engineering (Honours),,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",No,Yes,38.0,12,456,English,330,387500,6000,393500,CRICOS
00098G,The University of New South Wales (UNSW),088867K,Bachelor of Advanced Science (Honours)/Bachelor of Science (Computer Science),,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",02,Information Technology,0201,Computer Science,020100,"Computer Science, n.f.d.",No,No,,,,English,278,318500,5000,323500,CRICOS
00098G,The University of New South Wales (UNSW),088868J,Bachelor of Advanced Science (Honours)/Bachelor of Social Science,,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",09,Society and Culture,0901,Political Science and Policy Studies,090103,Policy Studies,No,No,,,,English,312,345500,5500,351000,CRICOS
00098G,The University of New South Wales (UNSW),088869G,Bachelor of Advanced Science (Honours)/Bachelor of Fine Arts,,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",10,Creative Arts,1003,Visual Arts and Crafts,100301,Fine Arts,No,No,,,,English,278,311500,5000,316500,CRICOS
00098G,The University of New South Wales (UNSW),088870D,Bachelor of Engineering (Honours) (Materials Science and Engineering)/Bachelor of Commerce,,Yes,Bachelor Honours Degree,03,Engineering and Related Technologies,0303,Process and Resources Engineering,030305,Materials Engineering,08,Management and Commerce,0800,Management and Commerce,080000,"Management and Commerce, n.f.d.",No,Yes,38.0,12,456,English,312,351500,5500,357000,CRICOS
00098G,The University of New South Wales (UNSW),088871C,Bachelor of Biotechnology (Honours),,No,Bachelor Honours Degree,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019905,Food Science and Biotechnology,,,,,,,No,No,,,,English,226,248000,4000,252000,CRICOS
00098G,The University of New South Wales (UNSW),088873A,Bachelor of Engineering (Honours) in Materials Science and Engineering,,No,Bachelor Honours Degree,03,Engineering and Related Technologies,0303,Process and Resources Engineering,030305,Materials Engineering,,,,,,,No,Yes,38.0,12,456,English,226,249000,4000,253000,CRICOS
00098G,The University of New South Wales (UNSW),088874M,Bachelor of Psychology (Honours),,No,Bachelor Honours Degree,09,Society and Culture,0907,Behavioural Science,090701,Psychology,,,,,,,No,No,,,,English,208,245500,4000,249500,CRICOS
00098G,The University of New South Wales (UNSW),088875K,Bachelor of Science (Advanced Mathematics) (Honours)/Bachelor of Arts,,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0101,Mathematical Sciences,010100,"Mathematical Sciences, n.f.d.",09,Society and Culture,0900,Society and Culture,090000,"Society and Culture, n.f.d.",No,No,,,,English,278,313000,5000,318000,CRICOS
00098G,The University of New South Wales (UNSW),088877G,Bachelor of Advanced Science (Honours)/Bachelor of Arts,,Yes,Bachelor Honours Degree,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",09,Society and Culture,0900,Society and Culture,090000,"Society and Culture, n.f.d.",No,No,,,,English,278,287000,5000,292000,CRICOS
00098G,The University of New South Wales (UNSW),089221G,Master of Global Health (Extension),,No,Masters Degree (Coursework),06,Health,0613,Public Health,061300,"Public Health, n.f.d.",,,,,,,No,No,,,,English,104,88500,1500,90000,CRICOS
00098G,The University of New South Wales (UNSW),089222F,Bachelor of Computational Design (Honours),,No,Bachelor Honours Degree,04,Architecture and Building,0401,Architecture and Urban Environment,040101,Architecture,,,,,,,No,No,,,,English,52,47500,1000,48500,CRICOS
00098G,The University of New South Wales (UNSW),089223E,Master of Infectious Diseases Intelligence,,No,Masters Degree (Coursework),06,Health,0613,Public Health,061399,"Public Health, n.e.c.",,,,,,,No,No,,,,English,70,58000,1000,59000,CRICOS
00098G,The University of New South Wales (UNSW),089363D,Bachelor of Landscape Architecture (Honours),,No,Bachelor Honours Degree,04,Architecture and Building,0401,Architecture and Urban Environment,040105,Landscape Architecture,,,,,,,No,Yes,16.0,45,720,English,208,208000,4000,212000,CRICOS
00098G,The University of New South Wales (UNSW),089471M,Bachelor of Engineering (Honours) in Materials Science and Engineering/Bachelor of Engineering Science,,Yes,Bachelor Honours Degree,03,Engineering and Related Technologies,0303,Process and Resources Engineering,030305,Materials Engineering,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",No,Yes,38.0,12,456,English,278,318500,5000,323500,CRICOS
00098G,The University of New South Wales (UNSW),089837G,Master of Global Health (Extension)/Master of Health Leadership and Management,,Yes,Masters Degree (Coursework),06,Health,0613,Public Health,061300,"Public Health, n.f.d.",08,Management and Commerce,0803,Business and Management,080313,Public and Health Care Administration,No,No,,,,English,122,118500,2000,120500,CRICOS
00098G,The University of New South Wales (UNSW),089838G,Master of Global Health/Master of Public Health (Extension),,Yes,Masters Degree (Coursework),06,Health,0613,Public Health,061300,"Public Health, n.f.d.",06,Health,0613,Public Health,061300,"Public Health, n.f.d.",No,No,,,,English,122,119000,2000,121000,CRICOS
00098G,The University of New South Wales (UNSW),089839F,Master of Public Health (Extension)/Master of Health Leadership and Management,,Yes,Masters Degree (Coursework),06,Health,0613,Public Health,061300,"Public Health, n.f.d.",08,Management and Commerce,0803,Business and Management,080313,Public and Health Care Administration,No,No,,,,English,122,118500,2000,120500,CRICOS
00098G,The University of New South Wales (UNSW),089844J,Master of Public Health/Master of Health Leadership and Management (Extension),,Yes,Masters Degree (Coursework),06,Health,0613,Public Health,061300,"Public Health, n.f.d.",08,Management and Commerce,0803,Business and Management,080313,Public and Health Care Administration,No,No,,,,English,122,119000,2000,121000,CRICOS
00098G,The University of New South Wales (UNSW),089845G,Master of Global Health/Master of Health Leadership and Management (Extension),,Yes,Masters Degree (Coursework),06,Health,0613,Public Health,061300,"Public Health, n.f.d.",08,Management and Commerce,0803,Business and Management,080313,Public and Health Care Administration,No,No,,,,English,122,119000,2000,121000,CRICOS
00098G,The University of New South Wales (UNSW),089846G,Master of Global Health (Extension) /Master of Public Health,,Yes,Masters Degree (Coursework),06,Health,0613,Public Health,061300,"Public Health, n.f.d.",06,Health,0613,Public Health,061300,"Public Health, n.f.d.",No,No,,,,English,122,118500,2000,120500,CRICOS
00098G,The University of New South Wales (UNSW),090701C,Bachelor of City Planning (Honours)/Bachelor of Laws,,Yes,Bachelor Honours Degree,04,Architecture and Building,0401,Architecture and Urban Environment,040101,Architecture,09,Society and Culture,0909,Law,090900,"Law, n.f.d.",No,Yes,35.0,42,,English,364,364000,6500,370500,CRICOS
00098G,The University of New South Wales (UNSW),092960A,Bachelor of Vision Science/Master of Clinical Optometry,,Yes,Masters Degree (Coursework),06,Health,0609,Optical Science,060901,Optometry,06,Health,0609,Optical Science,060901,Optometry,No,Yes,16.0,33,528,English,260,327000,5000,332000,CRICOS
00098G,The University of New South Wales (UNSW),092961M,Master of Philosophy - Engineering,,No,Masters Degree (Research),03,Engineering and Related Technologies,0309,Civil Engineering,030999,"Civil Engineering, n.e.c.",,,,,,,No,No,,,,English,104,121000,2000,123000,CRICOS
00098G,The University of New South Wales (UNSW),092962K,Bachelor of Vision Science,,No,Bachelor Degree,06,Health,0609,Optical Science,060901,Optometry,,,,,,,No,No,,,,English,174,187000,3000,190000,CRICOS
00098G,The University of New South Wales (UNSW),093022B,Master of Clinical Optometry,,No,Masters Degree (Coursework),06,Health,0609,Optical Science,060901,Optometry,,,,,,,No,Yes,17.0,56,952,English,104,102500,2000,104500,CRICOS
00098G,The University of New South Wales (UNSW),093084K,Doctor of Clinical Research in Optometry (Professional Doctorate),,No,Doctoral Degree,06,Health,0609,Optical Science,060901,Optometry,,,,,,,No,No,,,,English,208,242500,4000,246500,CRICOS
00098G,The University of New South Wales (UNSW),093085J,Bachelor of Data Science and Decisions,,No,Bachelor Degree,01,Natural and Physical Sciences,0101,Mathematical Sciences,010101,Mathematics,,,,,,,No,No,,,,English,174,176000,3000,179000,CRICOS
00098G,The University of New South Wales (UNSW),093555F,Doctor of Philosophy (Cyber Security),,No,Doctoral Degree,02,Information Technology,0299,Other Information Technology,029901,Security Science,,,,,,,No,No,,,,English,208,193000,4000,197000,CRICOS
00098G,The University of New South Wales (UNSW),093557D,Master of Business (Research),,No,Masters Degree (Research),08,Management and Commerce,0803,Business and Management,080301,Business Management,,,,,,,No,No,,,,English,104,92500,2000,94500,CRICOS
00098G,The University of New South Wales (UNSW),093558C,Doctor of Cyber Security (Professional Doctorate),,No,Doctoral Degree,02,Information Technology,0299,Other Information Technology,029901,Security Science,,,,,,,No,No,,,,English,208,193000,4000,197000,CRICOS
00098G,The University of New South Wales (UNSW),093773G,Master of City Analytics (Extension),,No,Masters Degree (Coursework),04,Architecture and Building,0401,Architecture and Urban Environment,040103,Urban Design and Regional Planning,,,,,,,No,No,,,,English,122,95500,2000,97500,CRICOS
00098G,The University of New South Wales (UNSW),093860G,Graduate Diploma in City Analytics,,No,Graduate Diploma,04,Architecture and Building,0401,Architecture and Urban Environment,040103,Urban Design and Regional Planning,,,,,,,No,No,,,,English,70,46500,1000,47500,CRICOS
00098G,The University of New South Wales (UNSW),093861G,Master of City Analytics,,No,Masters Degree (Coursework),04,Architecture and Building,0401,Architecture and Urban Environment,040103,Urban Design and Regional Planning,,,,,,,No,No,,,,English,104,71000,1500,72500,CRICOS
00098G,The University of New South Wales (UNSW),094951G,Master of Public Relations and Advertising/Master of Design,,Yes,Masters Degree (Coursework),08,Management and Commerce,0805,Sales and Marketing,080509,Public Relations,10,Creative Arts,1005,Graphic and Design Studies,100501,Graphic Arts and Design Studies,No,No,,,,English,174,149500,3000,152500,CRICOS
00098G,The University of New South Wales (UNSW),094952G,Master of Landscape Architecture,,No,Masters Degree (Coursework),04,Architecture and Building,0401,Architecture and Urban Environment,040105,Landscape Architecture,,,,,,,No,No,,,,English,174,146500,3000,149500,CRICOS
00098G,The University of New South Wales (UNSW),095626B,Extended Foundation Program,,No,Non AQF Award,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,Yes,No,,,,English,60,44300,1500,45800,CRICOS
00098G,The University of New South Wales (UNSW),095804M,Master of Journalism and Communication,,No,Masters Degree (Coursework),10,Creative Arts,1007,Communication and Media Studies,100700,"Communication and Media Studies, n.f.d.",,,,,,,No,No,,,,English,104,71500,1500,73000,CRICOS
00098G,The University of New South Wales (UNSW),095811A,Master of Public Relations and Advertising,,No,Masters Degree (Coursework),08,Management and Commerce,0805,Sales and Marketing,080509,Public Relations,,,,,,,No,No,,,,English,104,75000,1500,76500,CRICOS
00098G,The University of New South Wales (UNSW),095832G,Doctor of Public Leadership (Professional Doctorate),,No,Doctoral Degree,09,Society and Culture,0901,Political Science and Policy Studies,090103,Policy Studies,,,,,,,No,No,,,,English,208,193000,4000,197000,CRICOS
00098G,The University of New South Wales (UNSW),095862A,Diploma in Science,,No,Diploma,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",,,,,,,No,No,,,,English,52,46500,1000,47500,CRICOS
00098G,The University of New South Wales (UNSW),095863M,Diploma in Engineering,,No,Diploma,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",,,,,,,No,No,,,,English,52,46500,1000,47500,CRICOS
00098G,The University of New South Wales (UNSW),096225M,Master of Science - Health Data Science,,No,Masters Degree (Coursework),01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019901,Medical Science,,,,,,,No,No,,,,English,104,75500,1500,77000,CRICOS
00098G,The University of New South Wales (UNSW),096226K,Graduate Diploma in Health Data Science,,No,Graduate Diploma,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019901,Medical Science,,,,,,,No,No,,,,English,70,48500,1000,49500,CRICOS
00098G,The University of New South Wales (UNSW),096227J,Graduate Certificate in Health Data Science,,No,Graduate Certificate,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019901,Medical Science,,,,,,,No,No,,,,English,34,24500,500,25000,CRICOS
00098G,The University of New South Wales (UNSW),096228G,Graduate Certificate in Advanced City Policy and Practice,,No,Graduate Certificate,04,Architecture and Building,0401,Architecture and Urban Environment,040103,Urban Design and Regional Planning,,,,,,,No,No,,,,English,34,23500,500,24000,CRICOS
00098G,The University of New South Wales (UNSW),096229G,Masters of Global Health/Master of Infectious Disease Intelligence,,Yes,Masters Degree (Coursework),06,Health,0613,Public Health,061300,"Public Health, n.f.d.",06,Health,0613,Public Health,061300,"Public Health, n.f.d.",No,No,,,,English,104,88500,1500,90000,CRICOS
