qualification_code,qualification_title,osca_code,osca_description,pathway,special_conditions,special_conditions_description,jsc
ACM10121,Certificate I in Animal Care Industry Pathways,461431,Dog Walker,Pre-vocational,,,Skills Insight
ACM10121,Certificate I in Animal Care Industry Pathways,461499,Domestic Animal Care Workers nec,Pre-vocational,,,Skills Insight
ACM10121,Certificate I in Animal Care Industry Pathways,461432,Domestic Animal Attendant,Pre-vocational,,,Skills Insight
ACM20121,Certificate II in Animal Care,341199,Animal Trainers and Zookeepers nec,Progression pathway,,,Skills Insight
ACM20121,Certificate II in Animal Care,341231,Veterinary Nurse,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM20121,Certificate II in Animal Care,461499,Domestic Animal Care Workers nec,Progression pathway,,,Skills Insight
ACM20121,Certificate II in Animal Care,341131,Dog Handler or Trainer,Progression pathway,,,Skills Insight
ACM20121,Certificate II in Animal Care,461432,Domestic Animal Attendant,Progression pathway,,,Skills Insight
ACM20121,Certificate II in Animal Care,311132,Animal Husbandry Technician,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM20121,Certificate II in Animal Care,461431,Dog Walker,Related,,,Skills Insight
ACM20221,Certificate II in Horse Care,841238,Stablehand,Occupation ready,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM30122,Certificate III in Animal Care Services,461499,Domestic Animal Care Workers nec,Specialised training,,,Skills Insight
ACM30122,Certificate III in Animal Care Services,461433,Pet Groomer,Specialised training,,,Skills Insight
ACM30122,Certificate III in Animal Care Services,461432,Domestic Animal Attendant,Specialised training,,,Skills Insight
ACM30122,Certificate III in Animal Care Services,341199,Animal Trainers and Zookeepers nec,Progression pathway,,,Skills Insight
ACM30122,Certificate III in Animal Care Services,172931,Boarding Kennel or Cattery Operator,Progression pathway,,,Skills Insight
ACM30122,Certificate III in Animal Care Services,341231,Veterinary Nurse,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM30122,Certificate III in Animal Care Services,341131,Dog Handler or Trainer,Progression pathway,,,Skills Insight
ACM30219,Certificate III in Animal Technology,461499,Domestic Animal Care Workers nec,Specialised training,,,Skills Insight
ACM30219,Certificate III in Animal Technology,461432,Domestic Animal Attendant,Specialised training,,,Skills Insight
ACM30219,Certificate III in Animal Technology,341199,Animal Trainers and Zookeepers nec,Progression pathway,,,Skills Insight
ACM30219,Certificate III in Animal Technology,311535,Life Science Technician,Progression pathway,,,Skills Insight
ACM30219,Certificate III in Animal Technology,244631,Biotechnologist,Progression pathway,,,Skills Insight
ACM30321,Certificate III in Wildlife and Exhibited Animal Care,341134,Zookeeper,Occupation ready,,,Skills Insight
ACM30321,Certificate III in Wildlife and Exhibited Animal Care,341199,Animal Trainers and Zookeepers nec,Occupation ready,,,Skills Insight
ACM30821,Certificate III in Horse Care,841238,Stablehand,Occupation ready,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM30821,Certificate III in Horse Care,341132,Horse Trainer,Occupation ready,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM30821,Certificate III in Horse Care,343234,Senior Horse Stable or Stud Worker,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM30921,Certificate III in Equine Hoof Care,331933,Farrier,Progression pathway,,,Skills Insight
ACM40122,Certificate IV in Animal Regulation and Management,591999,Inspectors and Regulatory Officers nec,Occupation ready,,,Skills Insight
ACM40122,Certificate IV in Animal Regulation and Management,591132,Council Ranger,Occupation ready,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM40222,Certificate IV in Animal Facility Management,171333,Veterinary Practice Manager,Occupation ready,,,Skills Insight
ACM40222,Certificate IV in Animal Facility Management,341134,Zookeeper,Specialised training,,,Skills Insight
ACM40222,Certificate IV in Animal Facility Management,172931,Boarding Kennel or Cattery Operator,Specialised training,,,Skills Insight
ACM40222,Certificate IV in Animal Facility Management,172331,Facilities Manager,Specialised training,,,Skills Insight
ACM40222,Certificate IV in Animal Facility Management,341231,Veterinary Nurse,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM40322,Certificate IV in Animal Behaviour and Training,341199,Animal Trainers and Zookeepers nec,Occupation ready,,,Skills Insight
ACM40322,Certificate IV in Animal Behaviour and Training,341131,Dog Handler or Trainer,Specialised training,,,Skills Insight
ACM40322,Certificate IV in Animal Behaviour and Training,461499,Domestic Animal Care Workers nec,Specialised training,,,Skills Insight
ACM40322,Certificate IV in Animal Behaviour and Training,231132,Circus Performer or Trainer,Progression pathway,,,Skills Insight
ACM40418,Certificate IV in Veterinary Nursing,341231,Veterinary Nurse,Occupation ready,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM40418,Certificate IV in Veterinary Nursing,171333,Veterinary Practice Manager,Progression pathway,,,Skills Insight
ACM40818,Certificate IV in Farriery,331933,Farrier,Occupation ready,,,Skills Insight
ACM40921,Certificate IV in Equine Care,399435,Leather Goods Maker,Occupation ready,,,Skills Insight
ACM40921,Certificate IV in Equine Care,343234,Senior Horse Stable or Stud Worker,Occupation ready,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM40921,Certificate IV in Equine Care,341132,Horse Trainer,Specialised training,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM50119,Diploma of Animal Technology,311535,Life Science Technician,Occupation ready,,,Skills Insight
ACM50119,Diploma of Animal Technology,311132,Animal Husbandry Technician,Occupation ready,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM50119,Diploma of Animal Technology,341231,Veterinary Nurse,Specialised training,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM50119,Diploma of Animal Technology,341199,Animal Trainers and Zookeepers nec,Specialised training,,,Skills Insight
ACM50219,Diploma of Veterinary Nursing,341231,Veterinary Nurse,Specialised training,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM50219,Diploma of Veterinary Nursing,171333,Veterinary Practice Manager,Specialised training,,,Skills Insight
ACM50421,Diploma of Equine Management,152933,Horse Breeder,Occupation ready,,,Skills Insight
ACM50421,Diploma of Equine Management,171333,Veterinary Practice Manager,Occupation ready,,,Skills Insight
ACM50421,Diploma of Equine Management,341132,Horse Trainer,Specialised training,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM50421,Diploma of Equine Management,841238,Stablehand,Specialised training,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM50421,Diploma of Equine Management,343234,Senior Horse Stable or Stud Worker,Specialised training,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM50521,Diploma of Equine Allied Health,311132,Animal Husbandry Technician,Specialised training,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM50521,Diploma of Equine Allied Health,341231,Veterinary Nurse,Specialised training,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM50521,Diploma of Equine Allied Health,343234,Senior Horse Stable or Stud Worker,Specialised training,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC10124,Certificate I in Conservation and Ecosystem Management,842931,Bush Regenerator,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841332,Broadacre Crop and Livestock Farm Worker,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841131,Cotton Farm Worker,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841134,"Grain, Oilseed, Pulse and Pasture Farm Worker",Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841199,Crop Farm Workers nec,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841231,Beef Cattle Farm Worker,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841232,Cattle and Sheep Farm Worker,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841233,Dairy Cattle Farm Worker,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841234,Livestock Husbandry Worker,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841235,Piggery Farm Worker,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841236,Poultry Farm Worker,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841237,Sheep Farm Worker,Pre-vocational,,,Skills Insight
AHC10222,Certificate I in Agriculture,841299,Livestock Farm Workers nec,Pre-vocational,,,Skills Insight
AHC10322,Certificate I in Horticulture,842131,Garden Labourer,Pre-vocational,,,Skills Insight
AHC10322,Certificate I in Horticulture,842231,Horticultural Nursery Assistant,Pre-vocational,,,Skills Insight
AHC10422,Certificate I in Permaculture,842131,Garden Labourer,Pre-vocational,,,Skills Insight
AHC10422,Certificate I in Permaculture,842931,Bush Regenerator,Pre-vocational,,,Skills Insight
AHC20122,Certificate II in Agriculture,841332,Broadacre Crop and Livestock Farm Worker,Occupation ready,,,Skills Insight
AHC20122,Certificate II in Agriculture,841299,Livestock Farm Workers nec,Occupation ready,,,Skills Insight
AHC20122,Certificate II in Agriculture,841399,Mixed Production and Aquaculture Farm Workers nec,Occupation ready,,,Skills Insight
AHC20122,Certificate II in Agriculture,841131,Cotton Farm Worker,Progression pathway,,,Skills Insight
AHC20122,Certificate II in Agriculture,841232,Cattle and Sheep Farm Worker,Progression pathway,,,Skills Insight
AHC20122,Certificate II in Agriculture,841236,Poultry Farm Worker,Progression pathway,,,Skills Insight
AHC20122,Certificate II in Agriculture,841134,"Grain, Oilseed, Pulse and Pasture Farm Worker",Progression pathway,,,Skills Insight
AHC20122,Certificate II in Agriculture,841231,Beef Cattle Farm Worker,Progression pathway,,,Skills Insight
AHC20122,Certificate II in Agriculture,821331,Fencer,Progression pathway,,,Skills Insight
AHC20122,Certificate II in Agriculture,343232,Senior Cattle and Sheep Farm Worker,Progression pathway,,,Skills Insight
AHC20122,Certificate II in Agriculture,841199,Crop Farm Workers nec,Progression pathway,,,Skills Insight
AHC20122,Certificate II in Agriculture,841233,Dairy Cattle Farm Worker,Progression pathway,,,Skills Insight
AHC20324,Certificate II in Production Horticulture,841199,Crop Farm Workers nec,Progression pathway,,,Skills Insight
AHC20324,Certificate II in Production Horticulture,741131,Agricultural and Horticultural Mobile Plant Operator,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC20324,Certificate II in Production Horticulture,343134,Horticultural Supervisor or Specialist,Progression pathway,,,Skills Insight
AHC20324,Certificate II in Production Horticulture,841132,Fruit Farm Worker,Progression pathway,,,Skills Insight
AHC20324,Certificate II in Production Horticulture,841141,Vegetable Picker,Progression pathway,,,Skills Insight
AHC20324,Certificate II in Production Horticulture,841136,Nut Farm Worker,Progression pathway,,,Skills Insight
AHC20324,Certificate II in Production Horticulture,841137,Sugar Cane Farm Worker,Progression pathway,,,Skills Insight
AHC20324,Certificate II in Production Horticulture,841138,Vegetable Farm Worker,Progression pathway,,,Skills Insight
AHC20324,Certificate II in Production Horticulture,841142,Vineyard Worker,Progression pathway,,,Skills Insight
AHC20324,Certificate II in Production Horticulture,842231,Horticultural Nursery Assistant,Progression pathway,,,Skills Insight
AHC20324,Certificate II in Production Horticulture,831136,Fruit and Vegetable Factory Worker,Progression pathway,,,Skills Insight
AHC20422,Certificate II in Horticulture,842131,Garden Labourer,Occupation ready,,,Skills Insight
AHC20422,Certificate II in Horticulture,842231,Horticultural Nursery Assistant,Progression pathway,,,Skills Insight
AHC20520,Certificate II in Arboriculture,842231,Horticultural Nursery Assistant,Specialised training,,,Skills Insight
AHC20520,Certificate II in Arboriculture,342231,Arborist,Progression pathway,Licensing and registration is required.,"Licensing and regulation requirements apply to this occupation, but vary depending on the location, industry and individual circumstances of the work. Contact your state or territory government for further information.",Skills Insight
AHC20520,Certificate II in Arboriculture,342232,Tree Worker,Progression pathway,Licensing and registration is required.,"Licensing and regulation requirements apply to this occupation, but vary depending on the location, industry and individual circumstances of the work. Contact your state or territory government for further information.",Skills Insight
AHC20624,Certificate II in Parks and Gardens,842131,Garden Labourer,Progression pathway,,,Skills Insight
AHC20624,Certificate II in Parks and Gardens,241132,Landscape Architect,Progression pathway,,,Skills Insight
AHC20724,Certificate II in Nursery Operations,842231,Horticultural Nursery Assistant,Progression pathway,,,Skills Insight
AHC20724,Certificate II in Nursery Operations,631131,Sales Assistant (General),Progression pathway,,,Skills Insight
AHC20919,Certificate II in Sports Turf Management,842131,Garden Labourer,Specialised training,,,Skills Insight
AHC20919,Certificate II in Sports Turf Management,342532,Sports Turf Trades Worker,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC21024,Certificate II in Conservation and Ecosystem Management,842931,Bush Regenerator,Progression pathway,,,Skills Insight
AHC21024,Certificate II in Conservation and Ecosystem Management,149331,Environmental Manager,Progression pathway,,,Skills Insight
AHC21124,Certificate II in Irrigation,821631,"Drainage, Sewerage and Stormwater Labourer",Specialised training,,,Skills Insight
AHC21124,Certificate II in Irrigation,842933,Irrigation Assistant,Progression pathway,,,Skills Insight
AHC21216,Certificate II in Rural Operations,842932,Forestry Worker,Related,,,Skills Insight
AHC21325,Certificate II in Shearing,343331,Shearer,Progression pathway,,,Skills Insight
AHC21325,Certificate II in Shearing,841237,Sheep Farm Worker,Progression pathway,,,Skills Insight
AHC21425,Certificate II in Wool Handling,841241,Wool Handler,Progression pathway,,,Skills Insight
AHC21425,Certificate II in Wool Handling,841237,Sheep Farm Worker,Progression pathway,,,Skills Insight
AHC21624,Certificate II in Landscaping,842131,Garden Labourer,Specialised training,,,Skills Insight
AHC21624,Certificate II in Landscaping,821631,"Drainage, Sewerage and Stormwater Labourer",Progression pathway,,,Skills Insight
AHC21624,Certificate II in Landscaping,312199,Building and Landscape Designers and Technicians nec,Progression pathway,,,Skills Insight
AHC21624,Certificate II in Landscaping,821331,Fencer,Progression pathway,,,Skills Insight
AHC21624,Certificate II in Landscaping,821531,Paving and Surfacing Labourer,Progression pathway,,,Skills Insight
AHC21624,Certificate II in Landscaping,342432,Landscape Gardener,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC21624,Certificate II in Landscaping,241132,Landscape Architect,Progression pathway,,,Skills Insight
AHC21722,Certificate II in Permaculture,842131,Garden Labourer,Progression pathway,,,Skills Insight
AHC21824,Certificate II in Protected Horticulture,842231,Horticultural Nursery Assistant,Progression pathway,,,Skills Insight
AHC21824,Certificate II in Protected Horticulture,841138,Vegetable Farm Worker,Progression pathway,,,Skills Insight
AHC21824,Certificate II in Protected Horticulture,841199,Crop Farm Workers nec,Progression pathway,,,Skills Insight
AHC21824,Certificate II in Protected Horticulture,841132,Fruit Farm Worker,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,841234,Livestock Husbandry Worker,Occupation ready,,,Skills Insight
AHC30122,Certificate III in Agriculture,343235,Senior Piggery Stockperson,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,343299,Senior Livestock Farm Workers nec,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,311131,Agricultural and Agritech Technician,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,343136,Senior Broadacre Crop Farm Worker,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,343236,Senior Sheep Farm Worker,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,343135,Senior Broadacre Crop and Livestock Farm Worker,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,343232,Senior Cattle and Sheep Farm Worker,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,343199,"Senior Aquaculture, Crop and Forestry Workers nec",Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,343231,Senior Beef Cattle Station Worker,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,151132,"Grain, Oilseed, Pulse or Pasture Grower",Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,151332,Broadacre Crop and Livestock Farmer,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,151399,Mixed Production and Aquaculture Farmers nec,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,152231,Dairy Cattle Farmer,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,152331,Mixed Cattle and Sheep Farmer,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,152431,Sheep Farmer,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,152932,Goat Farmer,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,152934,Pig Farmer,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,152935,Poultry Farmer,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,152999,Livestock Farmers nec,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,343233,Senior Dairy Cattle Farm Worker,Progression pathway,,,Skills Insight
AHC30122,Certificate III in Agriculture,841232,Cattle and Sheep Farm Worker,Related,,,Skills Insight
AHC30122,Certificate III in Agriculture,841237,Sheep Farm Worker,Related,,,Skills Insight
AHC30122,Certificate III in Agriculture,841233,Dairy Cattle Farm Worker,Related,,,Skills Insight
AHC30122,Certificate III in Agriculture,841231,Beef Cattle Farm Worker,Related,,,Skills Insight
AHC30122,Certificate III in Agriculture,741131,Agricultural and Horticultural Mobile Plant Operator,Related,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC30122,Certificate III in Agriculture,841134,"Grain, Oilseed, Pulse and Pasture Farm Worker",Related,,,Skills Insight
AHC30122,Certificate III in Agriculture,841236,Poultry Farm Worker,Related,,,Skills Insight
AHC30122,Certificate III in Agriculture,841131,Cotton Farm Worker,Related,,,Skills Insight
AHC30224,Certificate III in Dairy Production,841233,Dairy Cattle Farm Worker,Occupation ready,,,Skills Insight
AHC30224,Certificate III in Dairy Production,343233,Senior Dairy Cattle Farm Worker,Progression pathway,,,Skills Insight
AHC30324,Certificate III in Rural and Environmental Pest Management,399331,Pest Control Technician,Specialised training,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC30324,Certificate III in Rural and Environmental Pest Management,591134,"Invasive Pest, Weed and Disease Inspector",Specialised training,,,Skills Insight
AHC30324,Certificate III in Rural and Environmental Pest Management,244635,Microbiologist,Progression pathway,,,Skills Insight
AHC30324,Certificate III in Rural and Environmental Pest Management,311199,Agricultural Technicians and Inspection Officers nec,Progression pathway,,,Skills Insight
AHC30422,Certificate III in Pork Production,841235,Piggery Farm Worker,Occupation ready,,,Skills Insight
AHC30422,Certificate III in Pork Production,343235,Senior Piggery Stockperson,Progression pathway,,,Skills Insight
AHC30522,Certificate III in Poultry Production,841236,Poultry Farm Worker,Occupation ready,,,Skills Insight
AHC30522,Certificate III in Poultry Production,343299,Senior Livestock Farm Workers nec,Progression pathway,,,Skills Insight
AHC30624,Certificate III in Production Horticulture,841138,Vegetable Farm Worker,Occupation ready,,,Skills Insight
AHC30624,Certificate III in Production Horticulture,841132,Fruit Farm Worker,Occupation ready,,,Skills Insight
AHC30624,Certificate III in Production Horticulture,831136,Fruit and Vegetable Factory Worker,Occupation ready,,,Skills Insight
AHC30624,Certificate III in Production Horticulture,841136,Nut Farm Worker,Occupation ready,,,Skills Insight
AHC30624,Certificate III in Production Horticulture,841137,Sugar Cane Farm Worker,Occupation ready,,,Skills Insight
AHC30624,Certificate III in Production Horticulture,244632,Botanist,Progression pathway,,,Skills Insight
AHC30624,Certificate III in Production Horticulture,343134,Horticultural Supervisor or Specialist,Progression pathway,,,Skills Insight
AHC30624,Certificate III in Production Horticulture,741131,Agricultural and Horticultural Mobile Plant Operator,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC30722,Certificate III in Horticulture,342131,Gardener (General),Occupation ready,,,Skills Insight
AHC30722,Certificate III in Horticulture,342931,Nurseryperson,Progression pathway,,,Skills Insight
AHC30722,Certificate III in Horticulture,343134,Horticultural Supervisor or Specialist,Progression pathway,,,Skills Insight
AHC30722,Certificate III in Horticulture,244632,Botanist,Progression pathway,,,Skills Insight
AHC30824,Certificate III in Arboriculture,342231,Arborist,Specialised training,Licensing and registration is required.,"Licensing and regulation requirements apply to this occupation, but vary depending on the location, industry and individual circumstances of the work. Contact your state or territory government for further information.",Skills Insight
AHC30824,Certificate III in Arboriculture,342232,Tree Worker,Specialised training,Licensing and registration is required.,"Licensing and regulation requirements apply to this occupation, but vary depending on the location, industry and individual circumstances of the work. Contact your state or territory government for further information.",Skills Insight
AHC30921,Certificate III in Landscape Construction,342432,Landscape Gardener,Occupation ready,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC30921,Certificate III in Landscape Construction,821331,Fencer,Specialised training,,,Skills Insight
AHC30921,Certificate III in Landscape Construction,312199,Building and Landscape Designers and Technicians nec,Progression pathway,,,Skills Insight
AHC30921,Certificate III in Landscape Construction,241132,Landscape Architect,Progression pathway,,,Skills Insight
AHC31024,Certificate III in Parks and Gardens,342131,Gardener (General),Occupation ready,,,Skills Insight
AHC31024,Certificate III in Parks and Gardens,842999,Garden and Forestry Workers nec,Specialised training,,,Skills Insight
AHC31024,Certificate III in Parks and Gardens,842131,Garden Labourer,Specialised training,,,Skills Insight
AHC31024,Certificate III in Parks and Gardens,342432,Landscape Gardener,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC31124,Certificate III in Nursery Operations,842231,Horticultural Nursery Assistant,Occupation ready,,,Skills Insight
AHC31124,Certificate III in Nursery Operations,342931,Nurseryperson,Progression pathway,,,Skills Insight
AHC31324,Certificate III in Sports Turf Management,342532,Sports Turf Trades Worker,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC31324,Certificate III in Sports Turf Management,342531,Sports Turf Manager,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC31424,Certificate III in Conservation and Ecosystem Management,244332,Conservation Officer,Progression pathway,,,Skills Insight
AHC31424,Certificate III in Conservation and Ecosystem Management,149331,Environmental Manager,Progression pathway,,,Skills Insight
AHC31424,Certificate III in Conservation and Ecosystem Management,244331,Aboriginal and Torres Strait Islander Land and Sea Ranger,Progression pathway,,,Skills Insight
AHC31424,Certificate III in Conservation and Ecosystem Management,842931,Bush Regenerator,Progression pathway,,,Skills Insight
AHC31522,Certificate III in On Country Management,244334,Park Ranger,Progression pathway,,,Skills Insight
AHC31522,Certificate III in On Country Management,244331,Aboriginal and Torres Strait Islander Land and Sea Ranger,Progression pathway,,,Skills Insight
AHC31824,Certificate III in Beekeeping,152931,Apiarist,Occupation ready,,,Skills Insight
AHC32424,Certificate III in Irrigation Technology,342431,Irrigation Technician,Occupation ready,,,Skills Insight
AHC32522,Certificate III in Aboriginal and/or Torres Strait Islander Cultural Sites Work,244334,Park Ranger,Progression pathway,,,Skills Insight
AHC32522,Certificate III in Aboriginal and/or Torres Strait Islander Cultural Sites Work,232336,Historian,Progression pathway,,,Skills Insight
AHC32522,Certificate III in Aboriginal and/or Torres Strait Islander Cultural Sites Work,232331,Archaeologist,Progression pathway,,,Skills Insight
AHC32522,Certificate III in Aboriginal and/or Torres Strait Islander Cultural Sites Work,244331,Aboriginal and Torres Strait Islander Land and Sea Ranger,Progression pathway,,,Skills Insight
AHC32724,Certificate III in Rural Merchandising,619133,Sales Demonstrator,Specialised training,,,Skills Insight
AHC32724,Certificate III in Rural Merchandising,631999,Sales Assistants and Salespersons nec,Specialised training,,,Skills Insight
AHC32724,Certificate III in Rural Merchandising,631131,Sales Assistant (General),Specialised training,,,Skills Insight
AHC32724,Certificate III in Rural Merchandising,631933,Rental Salesperson,Specialised training,,,Skills Insight
AHC32724,Certificate III in Rural Merchandising,631931,Door-to-door Salesperson,Specialised training,,,Skills Insight
AHC32724,Certificate III in Rural Merchandising,721131,Storeperson,Specialised training,,,Skills Insight
AHC32724,Certificate III in Rural Merchandising,622234,Stock and Station Agent,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC32724,Certificate III in Rural Merchandising,621299,Sales Representatives nec,Progression pathway,,,Skills Insight
AHC32724,Certificate III in Rural Merchandising,221131,Advertising Specialist,Progression pathway,,,Skills Insight
AHC32724,Certificate III in Rural Merchandising,631531,Retail Supervisor,Progression pathway,,,Skills Insight
AHC32724,Certificate III in Rural Merchandising,619932,Merchandise Planner,Progression pathway,,,Skills Insight
AHC32822,Certificate III in Rural Operations,841332,Broadacre Crop and Livestock Farm Worker,Related,,,Skills Insight
AHC32822,Certificate III in Rural Operations,343136,Senior Broadacre Crop Farm Worker,Related,,,Skills Insight
AHC32822,Certificate III in Rural Operations,343135,Senior Broadacre Crop and Livestock Farm Worker,Related,,,Skills Insight
AHC32822,Certificate III in Rural Operations,741231,Earthmoving Plant Operator (General),Related,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC32822,Certificate III in Rural Operations,343231,Senior Beef Cattle Station Worker,Related,,,Skills Insight
AHC32822,Certificate III in Rural Operations,343236,Senior Sheep Farm Worker,Related,,,Skills Insight
AHC32822,Certificate III in Rural Operations,343235,Senior Piggery Stockperson,Related,,,Skills Insight
AHC32822,Certificate III in Rural Operations,343232,Senior Cattle and Sheep Farm Worker,Related,,,Skills Insight
AHC32822,Certificate III in Rural Operations,343233,Senior Dairy Cattle Farm Worker,Related,,,Skills Insight
AHC32822,Certificate III in Rural Operations,741131,Agricultural and Horticultural Mobile Plant Operator,Related,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
AHC32925,Certificate III in Shearing,343331,Shearer,Occupation ready,,,Skills Insight
AHC33025,Certificate III in Wool Clip Preparation,343332,Wool Classer,Specialised training,,,Skills Insight
AHC33125,Certificate III in Advanced Wool Handling,841241,Wool Handler,Specialised training,,,Skills Insight
AHC33125,Certificate III in Advanced Wool Handling,152431,Sheep Farmer,Specialised training,,,Skills Insight
AHC33325,Certificate III in Feedlot Operations,841231,Beef Cattle Farm Worker,Occupation ready,,,Skills Insight
