anzsco4_code,occupation,description,employed,median_weekly_earnings_aud,median_age,annual_employment_growth,average_full_time_hours_worked_per_week,vacancies_aust_jul_2026,vacancies_nsw_jul_2026,vacancies_vic_jul_2026,vacancies_qld_jul_2026,vacancies_sa_jul_2026,vacancies_wa_jul_2026,vacancies_tas_jul_2026,vacancies_nt_jul_2026,vacancies_act_jul_2026,employment_may_2025_thousands,employment_may_2030_thousands,employment_may_2035_thousands,change_5y_thousands,change_5y_pct,change_10y_thousands,change_10y_pct
1333,"Importers, Exporters and Wholesalers","Importers, Exporters and Wholesalers plan, organise, direct, control and coordinate the operations of importing, exporting and wholesaling establishments.",17700,1846,52,-700,46,29.0,8.66667,11.33333,6.0,1.0,1.33333,0.0,0.0,0.66667,18.6484808524795,20.2043213298655,21.706954829989403,1.555840477385999,8.342987773071792,3.0584739775099017,16.400660202320164
1334,Manufacturers,"Manufacturers plan, organise, direct, control and coordinate the operations of small manufacturing establishments.",19400,,45,-2000,45,37.66667,12.0,9.66667,10.0,1.33333,4.0,0.33333,0.33333,0.0,21.6775954732334,23.8678842794021,25.7576868021305,2.1902888061687023,10.10392877232708,4.080091328897101,18.82169696327727
1335,Production Managers,"Production Managers plan, organise, direct, control and coordinate the production activities of forestry, manufacturing and mining organisations including physical and human resources.",64700,2298,47,700,47,1229.0,349.66667,292.66667,268.66667,81.33333,169.0,23.66667,23.0,21.0,62.2306120045629,67.8346810308757,72.6822558137507,5.6040690263128,9.005325266449084,10.4516438091878,16.795020123571113
1336,"Supply, Distribution and Procurement Managers","Supply, Distribution and Procurement Managers plan, organise, direct, control and coordinate the supply, storage and distribution of goods, products and services produced and used by organisations.",56700,2834,45,2500,46,505.66667,173.0,126.33333,94.33333,31.0,65.66667,6.33333,2.33333,6.66667,55.4762866220008,59.942389095677704,64.0905819495792,4.466102473676905,8.050471193408496,8.614295327578404,15.527887413001693
1341,Child Care Centre Managers,"Child Care Centre Managers plan, organise, direct, control and coordinate the activities of childcare centres and services including physical and human resources.",17200,1983,43,-400,41,308.0,85.33333,80.66667,76.33333,21.66667,25.0,4.33333,5.0,9.66667,18.8589585316514,20.556254927967398,21.8610272683297,1.6972963963159984,8.999947656003322,3.0020687366783,15.918528754596192
1342,Health and Welfare Services Managers,"Health and Welfare Services Managers plan, organise, direct, control and coordinate the professional and administrative aspects of health and welfare programs and services.",51200,2720,47,4500,43,399.33333,98.33333,99.66667,93.66667,31.66667,45.33333,10.33333,10.66667,9.66667,44.2535121492895,50.9647805145314,56.2395931207856,6.711268365241899,15.165504474766644,11.9860809714961,27.08503888021584
1343,School Principals,"School Principals plan, organise, direct, control and coordinate the educational and administrative aspects of primary, middle or intermediate, and secondary schools including physical and human resources.",30000,,50,900,51,159.33333,45.33333,38.0,40.33333,9.66667,16.0,4.0,3.33333,2.66667,28.969372572315198,31.3875139846418,33.306662201361895,2.4181414123266016,8.347234329256812,4.337289629046698,14.971983318657243
1344,Other Education Managers,"Other Education Managers plan, organise, direct, control and coordinate educational policy, and provide advice and educational and administrative support to staff and students in educational institutions.",16200,2724,47,600,44,112.33333,28.33333,34.33333,27.0,4.33333,8.0,2.0,0.66667,7.66667,15.7429987918962,17.2737553596928,18.828572895708998,1.5307565677965993,9.72341158143622,3.0855741038127977,19.599659153890777
1351,ICT Managers,"ICT Managers plan, organise, direct, control and coordinate the acquisition, development, maintenance and use of computer and telecommunication systems within organisations.",95800,3310,45,4100,44,521.33333,164.33333,136.0,97.66667,29.33333,49.0,8.0,4.33333,32.66667,89.8831046427226,103.37045715215899,112.762151890767,13.487352509436391,15.005436853841916,22.8790472480444,25.45422450524667
1391,Commissioned Officers (Management),"Commissioned Officers (Management) provide high level management to support the running of organisational, geographical and operational units and sections within the defence forces and fire and police services.",4400,3542,46,0,48,,,,,,,,,,4.3722073743892595,4.8501236738947,5.1364613027590105,0.47791629950544046,10.930778405088782,0.7642539283697509,17.47981884039769
1392,Senior Non-Commissioned Defence Force Officers,Senior Non-Commissioned Defence Force Members implement and enforce directives of commissioned officers of the Australian and New Zealand Defence Forces.,4000,,44,,45,,,,,,,,,,0.257389691791879,0.28441789627491404,0.300400188169831,0.027028204483035057,10.500888475708503,0.04301049637795201,16.710263755523506
1399,Other Specialist Managers,"Other Specialist Managers includes occupations such as Arts Administrators or Managers, Environmental Managers, Laboratory Managers, Quality Assurance Managers and Sports Administrators.",72200,2845,45,1600,43,729.0,250.66667,186.33333,135.0,50.33333,71.0,4.33333,10.0,21.33333,68.8174358683943,76.75489459830379,82.8721000519034,7.937458729909494,11.534080905148809,14.054664183509104,20.423115168642852
