major_code,major_name,narrow_field_code,narrow_field_name,broad_field_code,broad_field_name,data_source
030199,"Manufacturing Engineering and Technology, n.e.c.",0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030301,Chemical Engineering,0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030303,Mining Engineering,0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030305,Materials Engineering,0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030307,Food Processing Technology,0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030399,"Process and Resources Engineering, n.e.c.",0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030501,Automotive Engineering,0305,Automotive Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030503,Vehicle Mechanics,0305,Automotive Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030505,Automotive Electrics and Electronics,0305,Automotive Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030507,Automotive Vehicle Refinishing,0305,Automotive Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030509,Automotive Body Construction,0305,Automotive Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030511,Panel Beating,0305,Automotive Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030513,Upholstery and Vehicle Trimming,0305,Automotive Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030515,Automotive Vehicle Operations,0305,Automotive Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030599,"Automotive Engineering and Technology, n.e.c.",0305,Automotive Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030701,Mechanical Engineering,0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030703,Industrial Engineering,0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030705,Toolmaking,0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030707,"Metal Fitting, Turning and Machining",0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030709,Sheetmetal Working,0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030711,Boilermaking and Welding,0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030713,Metal Casting and Patternmaking,0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030715,Precision Metalworking,0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030717,Plant and Machine Operations,0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030799,"Mechanical and Industrial Engineering and Technology, n.e.c.",0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030901,Construction Engineering,0309,Civil Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030903,Structural Engineering,0309,Civil Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030905,Building Services Engineering,0309,Civil Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030907,Water and Sanitary Engineering,0309,Civil Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030909,Transport Engineering,0309,Civil Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030911,Geotechnical Engineering,0309,Civil Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030913,Ocean Engineering,0309,Civil Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030999,"Civil Engineering, n.e.c.",0309,Civil Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031101,Surveying,0311,Geomatic Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031103,Mapping Science,0311,Geomatic Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031199,"Geomatic Engineering, n.e.c.",0311,Geomatic Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031301,Electrical Engineering,0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031303,Electronic Engineering,0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031305,Computer Engineering,0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031307,Communications Technologies,0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031309,Communications Equipment Installation and Maintenance,0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031311,Powerline Installation and Maintenance,0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031313,"Electrical Fitting, Electrical Mechanics",0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031315,Refrigeration and Air Conditioning Mechanics,0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031317,Electronic Equipment Servicing,0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031399,"Electrical and Electronic Engineering and Technology, n.e.c.",0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031501,Aerospace Engineering,0315,Aerospace Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031503,Aircraft Maintenance Engineering,0315,Aerospace Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031505,Aircraft Operation,0315,Aerospace Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031507,Air Traffic Control,0315,Aerospace Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031599,"Aerospace Engineering and Technology, n.e.c.",0315,Aerospace Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031701,Maritime Engineering,0317,Maritime Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031703,Marine Construction,0317,Maritime Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031705,Marine Craft Operation,0317,Maritime Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
031799,"Maritime Engineering and Technology, n.e.c.",0317,Maritime Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
039901,Environmental Engineering,0399,Other Engineering and Related Technologies,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
039903,Biomedical Engineering,0399,Other Engineering and Related Technologies,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
039905,Fire Technology,0399,Other Engineering and Related Technologies,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
039907,Rail Operations,0399,Other Engineering and Related Technologies,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
039909,Cleaning,0399,Other Engineering and Related Technologies,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
039999,"Engineering and Related Technologies, n.e.c.",0399,Other Engineering and Related Technologies,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
040101,Architecture,0401,Architecture and Urban Environment,04,ARCHITECTURE AND BUILDING,ASCED 2001
040103,Urban Design and Regional Planning,0401,Architecture and Urban Environment,04,ARCHITECTURE AND BUILDING,ASCED 2001
040105,Landscape Architecture,0401,Architecture and Urban Environment,04,ARCHITECTURE AND BUILDING,ASCED 2001
040107,Interior and Environmental Design,0401,Architecture and Urban Environment,04,ARCHITECTURE AND BUILDING,ASCED 2001
040199,"Architecture and Urban Environment, n.e.c.",0401,Architecture and Urban Environment,04,ARCHITECTURE AND BUILDING,ASCED 2001
040301,Building Science and Technology,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040303,Building Construction Management,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040305,Building Surveying,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040307,Building Construction Economics,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040309,Bricklaying and Stonemasonry,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040311,Carpentry and Joinery,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040313,"Ceiling, Wall and Floor Fixing",0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040315,Roof Fixing,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040317,Plastering,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040319,Furnishing Installation,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040321,Floor Coverings,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040323,Glazing,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040325,"Painting, Decorating and Sign Writing",0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040327,Plumbing,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040329,Scaffolding and Rigging,0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
040399,"Building, n.e.c.",0403,Building,04,ARCHITECTURE AND BUILDING,ASCED 2001
050101,Agricultural Science,0501,Agriculture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
050103,Wool Science,0501,Agriculture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
050105,Animal Husbandry,0501,Agriculture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
050199,"Agriculture, n.e.c.",0501,Agriculture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
050301,Horticulture,0503,Horticulture and Viticulture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
050303,Viticulture,0503,Horticulture and Viticulture,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
