onet_soc_code,title,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),4.46,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,5.15,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,32.29,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,45.91,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,3.94,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.55,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,4.92,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,2.78,08/2023,Incumbent,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,18.52,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,74.07,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,7.41,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2021,Occupational Expert,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,10.35,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),28.76,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,5.72,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,21.59,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,5.99,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,27.3,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.14,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,0.15,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.0,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.0,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2023,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),25.68,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),4,Some College Courses,1.21,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,0.0,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,72.87,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),8,Master's Degree,0.24,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.0,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),10,Doctor's Degree - Professional Practice (such as a J.D. for Law or an M.D. for Medicine),0.0,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),11,Doctor's Degree - Research/Scholarship (such as a Ph.D.),0.0,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),11.77,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),4,Some College Courses,2.54,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,0.09,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,80.08,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),8,Master's Degree,5.52,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.0,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),10,Doctor's Degree - Professional Practice (such as a J.D. for Law or an M.D. for Medicine),0.0,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),11,Doctor's Degree - Research/Scholarship (such as a Ph.D.),0.0,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2026,Incumbent,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),0.0,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,19.05,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,4.76,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,71.43,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,4.76,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.0,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.0,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2025,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),0.0,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),4,Some College Courses,0.0,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,2.78,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,83.33,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),8,Master's Degree,13.89,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.0,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),10,Doctor's Degree - Professional Practice (such as a J.D. for Law or an M.D. for Medicine),0.0,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),11,Doctor's Degree - Research/Scholarship (such as a Ph.D.),0.0,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2026,Occupational Expert,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),0.0,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,3.93,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,10.93,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.0,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.0,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2025,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),33.56,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,13.16,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,13.18,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,11.84,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,24.28,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,3.87,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.06,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.06,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,07/2017,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),14.59,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,9.36,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,11.3,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,57.34,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,7.06,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.18,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,0.18,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.0,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.0,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2024,Incumbent,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),0.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,5.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,0.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,10.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,70.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,15.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2025,Occupational Expert,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),1.26,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,5.77,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,25.96,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,2.16,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,47.68,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,2.8,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,14.36,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.0,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.0,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,07/2016,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),14.24,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,4.56,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,3.9,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,56.31,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,21.0,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,0.0,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,0.0,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.0,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2022,Incumbent,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),0.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),4,Some College Courses,0.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,0.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,48.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),8,Master's Degree,48.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,4.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),10,Doctor's Degree - Professional Practice (such as a J.D. for Law or an M.D. for Medicine),0.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),11,Doctor's Degree - Research/Scholarship (such as a Ph.D.),0.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2026,Occupational Expert,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),0.0,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,0.0,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,0.0,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,32.66,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,63.33,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,2.01,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",2.01,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.0,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,07/2014,Incumbent,O*NET
11-3051.00,Industrial Production Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,5.26,08/2021,Incumbent,O*NET
11-3051.00,Industrial Production Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),29.42,08/2021,Incumbent,O*NET
11-3051.00,Industrial Production Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,16.21,08/2021,Incumbent,O*NET
11-3051.00,Industrial Production Managers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,11.51,08/2021,Incumbent,O*NET
11-3051.00,Industrial Production Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,8.1,08/2021,Incumbent,O*NET
