cricos_course_code,course_name,course_level,field_rank,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,field_code,field_name,data_source
001403F,Doctor of Philosophy (Arts),Doctoral Degree,1,09,Society and Culture,0900,Society and Culture,090000,"Society and Culture, n.f.d.",CRICOS
001404E,Doctor of Philosophy (Science and Engineering),Doctoral Degree,1,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",CRICOS
008653J,Study Abroad,Non AQF Award,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100138,Graduate Certificate of Education,Graduate Certificate,1,07,Education,0703,Curriculum and Education Studies,070300,"Curriculum and Education Studies, n.f.d",CRICOS
0100139,Master of Business Analytics,Masters Degree (Coursework),1,02,Information Technology,0203,Information Systems,020307,Decision Support Systems,CRICOS
0100917,Bachelor of Combined Studies in Arts / Engineering (Honours),Bachelor Honours Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100918,Bachelor of Combined Studies in Science / Engineering (Honours),Bachelor Honours Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100919,Master of Combined Studies in Applied Economics / Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100920,Master of Combined Studies in Banking and Finance / Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100921,Master of Combined Studies in Business Analytics / Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100922,Master of Combined Studies in Commerce / Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
