cricos_course_code,course_name,course_level,field_rank,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,field_code,field_name,data_source
079204B,Graduate Diploma in International Relations,Graduate Diploma,1,09,Society and Culture,0901,Political Science and Policy Studies,090101,Political Science,CRICOS
079205A,Master of International Relations,Masters Degree (Coursework),1,09,Society and Culture,0901,Political Science and Policy Studies,090101,Political Science,CRICOS
079206M,Graduate Certificate in Museum and Heritage Studies,Graduate Certificate,1,09,Society and Culture,0913,"Librarianship, Information Management and Curatorial Studies",091303,Curatorial Studies,CRICOS
079207K,Graduate Diploma in Museum and Heritage Studies,Graduate Diploma,1,09,Society and Culture,0913,"Librarianship, Information Management and Curatorial Studies",091303,Curatorial Studies,CRICOS
079208J,Master of Museum and Heritage Studies,Masters Degree (Coursework),1,09,Society and Culture,0913,"Librarianship, Information Management and Curatorial Studies",091303,Curatorial Studies,CRICOS
079209G,Graduate Certificate in Art Curating,Graduate Certificate,1,09,Society and Culture,0913,"Librarianship, Information Management and Curatorial Studies",091303,Curatorial Studies,CRICOS
079210D,Graduate Diploma in Art Curating,Graduate Diploma,1,09,Society and Culture,0913,"Librarianship, Information Management and Curatorial Studies",091303,Curatorial Studies,CRICOS
079211C,Master of Art Curating,Masters Degree (Coursework),1,09,Society and Culture,0913,"Librarianship, Information Management and Curatorial Studies",091303,Curatorial Studies,CRICOS
079212B,Graduate Certificate in English Studies,Graduate Certificate,1,09,Society and Culture,0915,Language and Literature,091523,Literature,CRICOS
079213A,Graduate Diploma in English Studies,Graduate Diploma,1,09,Society and Culture,0915,Language and Literature,091523,Literature,CRICOS
079214M,Master of English Studies,Masters Degree (Coursework),1,09,Society and Culture,0915,Language and Literature,091523,Literature,CRICOS
079215K,Bachelor of Applied Science (Diagnostic Radiography),Bachelor Degree,1,06,Health,0615,Radiography,061501,Radiography,CRICOS
079216J,Doctor of Medicine,Masters Degree (Coursework),1,06,Health,0601,Medical Studies,060101,General Medicine,CRICOS
079217G,Bachelor of Medical Science/Doctor of Medicine,Masters Degree (Coursework),1,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019901,Medical Science,CRICOS
079217G,Bachelor of Medical Science/Doctor of Medicine,Masters Degree (Coursework),2,06,Health,0601,Medical Studies,060101,General Medicine,CRICOS
079218G,Bachelor of Science and Doctor of Medicine,Masters Degree (Coursework),1,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019900,"Natural and Physical Sciences, n.f.d.",CRICOS
079218G,Bachelor of Science and Doctor of Medicine,Masters Degree (Coursework),2,06,Health,0601,Medical Studies,060101,General Medicine,CRICOS
079222M,Bachelor of Veterinary Biology/Doctor of Veterinary Medicine,Masters Degree (Extended),1,06,Health,0611,Veterinary Studies,061101,Veterinary Science,CRICOS
079222M,Bachelor of Veterinary Biology/Doctor of Veterinary Medicine,Masters Degree (Extended),2,06,Health,0611,Veterinary Studies,061101,Veterinary Science,CRICOS
079223K,Bachelor of Veterinary Biology (Hons),Bachelor Honours Degree,1,06,Health,0611,Veterinary Studies,061199,"Veterinary Studies, n.e.c.",CRICOS
079224J,Doctor of Veterinary Medicine,Masters Degree (Extended),1,06,Health,0611,Veterinary Studies,061101,Veterinary Science,CRICOS
079240J,Graduate Diploma in Primary Health Care,Graduate Diploma,1,06,Health,0603,Nursing,060301,General Nursing,CRICOS
079241G,Master of Primary Health Care,Masters Degree (Coursework),1,06,Health,0603,Nursing,060301,General Nursing,CRICOS
079526F,Graduate Certificate in Design Science (Illumination Design),Graduate Certificate,1,04,Architecture and Building,0401,Architecture and Urban Environment,040107,Interior and Environmental Design,CRICOS
079527E,Graduate Diploma in Design Science (Illumination Design),Graduate Diploma,1,04,Architecture and Building,0401,Architecture and Urban Environment,040107,Interior and Environmental Design,CRICOS
079640D,Master of Cultural Studies,Masters Degree (Coursework),1,09,Society and Culture,0903,Studies in Human Society,090399,"Studies in Human Society, n.e.c.",CRICOS
079641C,Master of Health Communication,Masters Degree (Coursework),1,06,Health,0613,Public Health,061307,Health Promotion,CRICOS
079642B,Master of Political Economy,Masters Degree (Coursework),1,09,Society and Culture,0901,Political Science and Policy Studies,090101,Political Science,CRICOS
079643A,Master of Publishing,Masters Degree (Coursework),1,10,Creative Arts,1007,Communication and Media Studies,100799,"Communication and Media Studies, n.e.c.",CRICOS
079644M,Master of Strategic Public Relations,Masters Degree (Coursework),1,10,Creative Arts,1007,Communication and Media Studies,100799,"Communication and Media Studies, n.e.c.",CRICOS
081031M,Graduate Certificate in Bioethics,Graduate Certificate,1,01,Natural and Physical Sciences,0109,Biological Sciences,010999,"Biological Sciences, n.e.c.",CRICOS
082877A,Master of Environmental Science,Masters Degree (Coursework),1,05,"Agriculture, Environmental and Related Studies",0509,Environmental Studies,050999,"Environmental Studies, n.e.c.",CRICOS
082878M,Master of Clinical Psychology,Masters Degree (Coursework),1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
082879K,Bachelor of Architecture and Environments,Bachelor Degree,1,04,Architecture and Building,0401,Architecture and Urban Environment,040199,"Architecture and Urban Environment, n.e.c.",CRICOS
082893A,Bachelor of Architecture and Environments (Honours),Bachelor Honours Degree,1,04,Architecture and Building,0401,Architecture and Urban Environment,040199,"Architecture and Urban Environment, n.e.c.",CRICOS
082894M,Graduate Certificate in Architectural Science,Graduate Certificate,1,04,Architecture and Building,0403,Building,040301,Building Science and Technology,CRICOS
082895K,Graduate Diploma in Architectural Science,Graduate Diploma,1,04,Architecture and Building,0403,Building,040301,Building Science and Technology,CRICOS
082896J,Master of Architectural Science (One Stream),Masters Degree (Coursework),1,04,Architecture and Building,0403,Building,040301,Building Science and Technology,CRICOS
082897G,Master of Architectural Science (Two streams),Masters Degree (Coursework),1,04,Architecture and Building,0403,Building,040301,Building Science and Technology,CRICOS
082898G,Master of Urbanism,Masters Degree (Coursework),1,04,Architecture and Building,0403,Building,040301,Building Science and Technology,CRICOS
082899F,Master of Applied Linguistics,Masters Degree (Coursework),1,09,Society and Culture,0915,Language and Literature,091521,Linguistics,CRICOS
082900G,Master of Creative Writing,Masters Degree (Coursework),1,10,Creative Arts,1007,Communication and Media Studies,100705,Written Communication,CRICOS
082901F,Master of Crosscultural Communication,Masters Degree (Coursework),1,10,Creative Arts,1007,Communication and Media Studies,100799,"Communication and Media Studies, n.e.c.",CRICOS
082903D,Master of Development Studies,Masters Degree (Coursework),1,09,Society and Culture,0903,Studies in Human Society,090300,"Studies in Human Society, n.f.d.",CRICOS
082905B,Master of Human Rights,Masters Degree (Coursework),1,09,Society and Culture,0903,Studies in Human Society,090300,"Studies in Human Society, n.f.d.",CRICOS
082906A,Master of International Security,Masters Degree (Coursework),1,09,Society and Culture,0901,Political Science and Policy Studies,090100,"Political Science and Policy Studies, n.f.d.",CRICOS
082907M,Master of International Studies,Masters Degree (Coursework),1,09,Society and Culture,0901,Political Science and Policy Studies,090100,"Political Science and Policy Studies, n.f.d.",CRICOS
082908K,Master of Peace and Conflict Studies,Masters Degree (Coursework),1,09,Society and Culture,0999,Other Society and Culture,099999,"Society and Culture, n.e.c.",CRICOS
082909J,Master of Public Policy,Masters Degree (Coursework),1,09,Society and Culture,0901,Political Science and Policy Studies,090103,Policy Studies,CRICOS
082910E,Master of US Studies,Masters Degree (Coursework),1,09,Society and Culture,0901,Political Science and Policy Studies,090100,"Political Science and Policy Studies, n.f.d.",CRICOS
082911D,Bachelor of Project Management (Honours),Bachelor Honours Degree,1,08,Management and Commerce,0803,Business and Management,080315,Project Management,CRICOS
082912C,Master of Information Technology,Masters Degree (Coursework),1,02,Information Technology,0200,Information Technology,020000,"Information Technology, n.f.d.",CRICOS
082913B,Master of Information Technology Management,Masters Degree (Coursework),1,02,Information Technology,0299,Other Information Technology,029999,"Information Technology, n.e.c.",CRICOS
082914A,Master of Project Management,Masters Degree (Coursework),1,08,Management and Commerce,0803,Business and Management,080315,Project Management,CRICOS
082918G,Master of Clinical Psychology & Doctor of Philosophy,Doctoral Degree,1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
082918G,Master of Clinical Psychology & Doctor of Philosophy,Doctoral Degree,2,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
083109M,Bachelor of Engineering (Honours),Bachelor Honours Degree,1,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",CRICOS
083286E,Master of Contemporary Art,Masters Degree (Coursework),1,10,Creative Arts,1003,Visual Arts and Crafts,100301,Fine Arts,CRICOS
083287D,Master of Moving Image,Masters Degree (Coursework),1,10,Creative Arts,1003,Visual Arts and Crafts,100399,"Visual Arts and Crafts, n.e.c.",CRICOS
083314F,Direct Entry Course,Non AQF Award,1,09,Society and Culture,0915,Language and Literature,091501,ELICOS,CRICOS
083318B,Master of Marine Science and Management,Masters Degree (Coursework),1,01,Natural and Physical Sciences,0109,Biological Sciences,010907,Marine Science,CRICOS
083319A,Executive Master of Arts and Social Sciences,Masters Degree (Coursework),1,09,Society and Culture,0903,Studies in Human Society,090399,"Studies in Human Society, n.e.c.",CRICOS
083631D,Bachelor of Engineering (Honours) and Bachelor of Arts,Bachelor Honours Degree,1,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",CRICOS
083631D,Bachelor of Engineering (Honours) and Bachelor of Arts,Bachelor Honours Degree,2,09,Society and Culture,0999,Other Society and Culture,099999,"Society and Culture, n.e.c.",CRICOS
083632C,Bachelor of Engineering (Honours) and Bachelor of Commerce,Bachelor Honours Degree,1,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",CRICOS
083632C,Bachelor of Engineering (Honours) and Bachelor of Commerce,Bachelor Honours Degree,2,08,Management and Commerce,0800,Management and Commerce,080000,"Management and Commerce, n.f.d.",CRICOS
083633B,Bachelor of Engineering (Honours) and Bachelor of Design in Architecture,Bachelor Honours Degree,1,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",CRICOS
083633B,Bachelor of Engineering (Honours) and Bachelor of Design in Architecture,Bachelor Honours Degree,2,04,Architecture and Building,0401,Architecture and Urban Environment,040199,"Architecture and Urban Environment, n.e.c.",CRICOS
083634A,Bachelor of Engineering (Honours) and Bachelor of Laws,Bachelor Honours Degree,1,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",CRICOS
083634A,Bachelor of Engineering (Honours) and Bachelor of Laws,Bachelor Honours Degree,2,09,Society and Culture,0900,Society and Culture,090000,"Society and Culture, n.f.d.",CRICOS
083635M,Bachelor of Engineering (Honours) and Bachelor of Medical Science,Bachelor Honours Degree,1,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",CRICOS
083635M,Bachelor of Engineering (Honours) and Bachelor of Medical Science,Bachelor Honours Degree,2,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019901,Medical Science,CRICOS
083636K,Bachelor of Engineering (Honours) and Bachelor of Project Management,Bachelor Honours Degree,1,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",CRICOS
083636K,Bachelor of Engineering (Honours) and Bachelor of Project Management,Bachelor Honours Degree,2,08,Management and Commerce,0803,Business and Management,080315,Project Management,CRICOS
083637J,Bachelor of Engineering (Honours) and Bachelor of Science,Bachelor Honours Degree,1,03,Engineering and Related Technologies,0300,Engineering and Related Technologies,030000,"Engineering and Related Technologies, n.f.d.",CRICOS
083637J,Bachelor of Engineering (Honours) and Bachelor of Science,Bachelor Honours Degree,2,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",CRICOS
083638G,Master of Information Technology and Master of Information Technology Management,Masters Degree (Coursework),1,02,Information Technology,0200,Information Technology,020000,"Information Technology, n.f.d.",CRICOS
083638G,Master of Information Technology and Master of Information Technology Management,Masters Degree (Coursework),2,02,Information Technology,0299,Other Information Technology,029999,"Information Technology, n.e.c.",CRICOS
083641B,Graduate Diploma in Computing,Graduate Diploma,1,02,Information Technology,0200,Information Technology,020000,"Information Technology, n.f.d.",CRICOS
083644K,Master of Medicine (Advanced),Masters Degree (Coursework),1,06,Health,0601,Medical Studies,060100,"Medical Studies, n.f.d.",CRICOS
083645J,Master of Science in Medicine,Masters Degree (Coursework),1,06,Health,0601,Medical Studies,060100,"Medical Studies, n.f.d.",CRICOS
083646G,Master of Science in Medicine (Advanced),Masters Degree (Coursework),1,06,Health,0601,Medical Studies,060100,"Medical Studies, n.f.d.",CRICOS
083647G,Graduate Diploma in Medicine,Graduate Diploma,1,06,Health,0601,Medical Studies,060100,"Medical Studies, n.f.d.",CRICOS
083648F,Graduate Diploma in Science in Medicine,Graduate Diploma,1,06,Health,0601,Medical Studies,060100,"Medical Studies, n.f.d.",CRICOS
083649E,Graduate Certificate in Medicine,Graduate Certificate,1,06,Health,0601,Medical Studies,060100,"Medical Studies, n.f.d.",CRICOS
083650A,Graduate Certificate in Science in Medicine,Graduate Certificate,1,06,Health,0601,Medical Studies,060100,"Medical Studies, n.f.d.",CRICOS
083651M,Master of Environmental Science and Law,Masters Degree (Coursework),1,05,"Agriculture, Environmental and Related Studies",0509,Environmental Studies,050999,"Environmental Studies, n.e.c.",CRICOS
083950M,Master of Economics,Masters Degree (Coursework),1,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,CRICOS
083976A,Master of Health Technology Innovation,Masters Degree (Coursework),1,02,Information Technology,0299,Other Information Technology,029999,"Information Technology, n.e.c.",CRICOS
083977M,Graduate Diploma in Health Technology Innovation,Graduate Diploma,1,02,Information Technology,0299,Other Information Technology,029999,"Information Technology, n.e.c.",CRICOS
084691F,Master of Advanced Nursing Practice,Masters Degree (Coursework),1,06,Health,0603,Nursing,060399,"Nursing, n.e.c.",CRICOS
084692E,Graduate Diploma in Advanced Nursing Practice,Graduate Diploma,1,06,Health,0603,Nursing,060399,"Nursing, n.e.c.",CRICOS
084693D,Master of Agriculture and Environment,Masters Degree (Coursework),1,05,"Agriculture, Environmental and Related Studies",0501,Agriculture,050199,"Agriculture, n.e.c.",CRICOS
084694C,Graduate Diploma in Agriculture and Environment,Graduate Diploma,1,05,"Agriculture, Environmental and Related Studies",0501,Agriculture,050199,"Agriculture, n.e.c.",CRICOS
084696A,Master of Veterinary Studies,Masters Degree (Coursework),1,06,Health,0611,Veterinary Studies,061199,"Veterinary Studies, n.e.c.",CRICOS
085342G,Bachelor of Science and Doctor of Dental Medicine,Masters Degree (Coursework),1,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019900,"Natural and Physical Sciences, n.f.d.",CRICOS
085342G,Bachelor of Science and Doctor of Dental Medicine,Masters Degree (Coursework),2,06,Health,0607,Dental Studies,060701,Dentistry,CRICOS
085860G,Graduate Certificate in Health Security,Graduate Certificate,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
085862F,Master of Health Security,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
086045J,Advanced Skills for Academic Success,Non AQF Award,1,09,Society and Culture,0915,Language and Literature,091501,ELICOS,CRICOS
086047G,Graduate Academic Skills,Non AQF Award,1,09,Society and Culture,0915,Language and Literature,091501,ELICOS,CRICOS
086268E,Bachelor of Project Management and Bachelor of Arts,Bachelor Degree,1,08,Management and Commerce,0803,Business and Management,080315,Project Management,CRICOS
086268E,Bachelor of Project Management and Bachelor of Arts,Bachelor Degree,2,09,Society and Culture,0999,Other Society and Culture,099999,"Society and Culture, n.e.c.",CRICOS
086272J,Bachelor of Engineering (Honours) and Bachelor of Music Studies,Bachelor Honours Degree,1,03,Engineering and Related Technologies,0399,Other Engineering and Related Technologies,039999,"Engineering and Related Technologies, n.e.c.",CRICOS
086272J,Bachelor of Engineering (Honours) and Bachelor of Music Studies,Bachelor Honours Degree,2,10,Creative Arts,1001,Performing Arts,100101,Music,CRICOS
086400F,Master of Philosophy (Science),Masters Degree (Research),1,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",CRICOS
087980F,Graduate Certificate in Data Science,Graduate Certificate,1,02,Information Technology,0299,Other Information Technology,029999,"Information Technology, n.e.c.",CRICOS
087981E,Master of Data Science,Masters Degree (Coursework),1,02,Information Technology,0299,Other Information Technology,029999,"Information Technology, n.e.c.",CRICOS
088106G,Bachelor of Applied Science (Exercise Physiology),Bachelor Degree,1,06,Health,0699,Other Health,069903,Human Movement,CRICOS
088318F,Master of Interaction Design and Electronic Arts (with specialisation),Masters Degree (Coursework),1,03,Engineering and Related Technologies,0313,Electrical and Electronic Engineering and Technology,031305,Computer Engineering,CRICOS
088554E,Visiting Researcher Program (52 weeks),Non AQF Award,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
088555D,Visiting Researcher Program (104 weeks),Non AQF Award,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
088746G,Graduate Diploma in Logistics and Supply Chain Management,Graduate Diploma,1,08,Management and Commerce,0899,Other Management and Commerce,089999,"Management and Commerce, n.e.c.",CRICOS
088747G,Master of Logistics and Supply Chain Management,Masters Degree (Coursework),1,08,Management and Commerce,0899,Other Management and Commerce,089999,"Management and Commerce, n.e.c.",CRICOS
089436C,Bachelor of Pharmacy and Management,Bachelor Degree,1,06,Health,0605,Pharmacy,060501,Pharmacy,CRICOS
089556F,University of Sydney High Achievers Preparation Program,Non AQF Award,1,12,Mixed Field Programmes,1201,General Education Programmes,120199,"General Education Programmes, n.e.c.",CRICOS
089810G,Master of Complex Systems,Masters Degree (Coursework),1,03,Engineering and Related Technologies,0309,Civil Engineering,030900,"Civil Engineering, n.f.d.",CRICOS
089811G,Graduate Diploma in Complex Systems,Graduate Diploma,1,03,Engineering and Related Technologies,0309,Civil Engineering,030900,"Civil Engineering, n.f.d.",CRICOS
090281G,Bachelor of Education (Health and Physical Education),Bachelor Degree,1,07,Education,0701,Teacher Education,070105,Teacher Education: Secondary,CRICOS
090778D,Graduate Diploma in Moving Image,Graduate Diploma,1,10,Creative Arts,1003,Visual Arts and Crafts,100399,"Visual Arts and Crafts, n.e.c.",CRICOS
090781J,Bachelor of Design in Architecture (Honours) and Master of Architecture,Masters Degree (Coursework),1,04,Architecture and Building,0401,Architecture and Urban Environment,040101,Architecture,CRICOS
093678F,Graduate Diploma in Business Law,Graduate Diploma,1,09,Society and Culture,0909,Law,090901,Business and Commercial Law,CRICOS
093741D,Bachelor of Arts and Bachelor of Advanced Studies,Bachelor Degree,1,09,Society and Culture,0999,Other Society and Culture,099999,"Society and Culture, n.e.c.",CRICOS
093742C,Bachelor of Economics and Bachelor of Advanced Studies,Bachelor Degree,1,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,CRICOS
093743B,Bachelor of Commerce and Bachelor of Advanced Studies,Bachelor Degree,1,08,Management and Commerce,0800,Management and Commerce,080000,"Management and Commerce, n.f.d.",CRICOS
093744A,Bachelor of Science and Bachelor of Advanced Studies,Bachelor Degree,1,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",CRICOS
093745M,Bachelor of Design Computing and Bachelor of Advanced Studies,Bachelor Degree,1,04,Architecture and Building,0401,Architecture and Urban Environment,040199,"Architecture and Urban Environment, n.e.c.",CRICOS
093749G,Bachelor of Computing,Bachelor Degree,1,02,Information Technology,0200,Information Technology,020000,"Information Technology, n.f.d.",CRICOS
093751B,Bachelor of Arts and Doctor of Medicine,Masters Degree (Extended),1,09,Society and Culture,0900,Society and Culture,090000,"Society and Culture, n.f.d.",CRICOS
093751B,Bachelor of Arts and Doctor of Medicine,Masters Degree (Extended),2,06,Health,0601,Medical Studies,060101,General Medicine,CRICOS
093855E,Bachelor of Advanced Computing,Bachelor Degree,1,02,Information Technology,0200,Information Technology,020000,"Information Technology, n.f.d.",CRICOS
093856D,Bachelor of Advanced Computing/Bachelor of Science,Bachelor Degree,1,02,Information Technology,0201,Computer Science,020100,"Computer Science, n.f.d.",CRICOS
093856D,Bachelor of Advanced Computing/Bachelor of Science,Bachelor Degree,2,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",CRICOS
093857C,Bachelor of Advanced Computing/Bachelor of Commerce,Bachelor Degree,1,02,Information Technology,0200,Information Technology,020000,"Information Technology, n.f.d.",CRICOS
093857C,Bachelor of Advanced Computing/Bachelor of Commerce,Bachelor Degree,2,08,Management and Commerce,0800,Management and Commerce,080000,"Management and Commerce, n.f.d.",CRICOS
094170D,Bachelor of Visual Arts and Bachelor of Advanced Studies,Bachelor Degree,1,10,Creative Arts,1003,Visual Arts and Crafts,100301,Fine Arts,CRICOS
094484G,Bachelor of Music,Bachelor Degree,1,10,Creative Arts,1001,Performing Arts,100101,Music,CRICOS
095861B,Master of Business Administration (Leadership and Enterprise),Masters Degree (Coursework),1,08,Management and Commerce,0803,Business and Management,080301,Business Management,CRICOS
096314K,Master of Crosscultural and Applied Linguistics,Masters Degree (Coursework),1,09,Society and Culture,0915,Language and Literature,091521,Linguistics,CRICOS
096315J,Graduate Diploma of Crosscultural and Applied Linguistics,Graduate Diploma,1,09,Society and Culture,0915,Language and Literature,091521,Linguistics,CRICOS
096316G,Graduate Certificate of Crosscultural and Applied Linguistics,Graduate Certificate,1,09,Society and Culture,0915,Language and Literature,091521,Linguistics,CRICOS
096317G,Graduate Diploma in Computing,Graduate Diploma,1,02,Information Technology,0201,Computer Science,020100,"Computer Science, n.f.d.",CRICOS
096318F,Graduate Certificate in Computing,Graduate Certificate,1,02,Information Technology,0201,Computer Science,020100,"Computer Science, n.f.d.",CRICOS
097035J,Master of Mathematical Sciences,Masters Degree (Coursework),1,01,Natural and Physical Sciences,0101,Mathematical Sciences,010199,"Mathematical Sciences, n.e.c.",CRICOS
097036G,Bachelor of Science and Master of Mathematical Sciences,Masters Degree (Coursework),1,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019999,"Natural and Physical Sciences, n.e.c.",CRICOS
097036G,Bachelor of Science and Master of Mathematical Sciences,Masters Degree (Coursework),2,01,Natural and Physical Sciences,0101,Mathematical Sciences,010199,"Mathematical Sciences, n.e.c.",CRICOS
097037G,Master of Public Health,Masters Degree (Coursework),1,06,Health,0613,Public Health,061399,"Public Health, n.e.c.",CRICOS
097038F,Master of Global Health,Masters Degree (Coursework),1,06,Health,0613,Public Health,061399,"Public Health, n.e.c.",CRICOS
097699B,Graduate Certificate in Project and Program Management,Graduate Certificate,1,08,Management and Commerce,0803,Business and Management,080315,Project Management,CRICOS
097700C,Master of Project and Program Management,Masters Degree (Coursework),1,08,Management and Commerce,0803,Business and Management,080315,Project Management,CRICOS
097886K,Graduate Diploma in Design,Graduate Diploma,1,10,Creative Arts,1005,Graphic and Design Studies,100501,Graphic Arts and Design Studies,CRICOS
097889G,Master of Design,Masters Degree (Coursework),1,10,Creative Arts,1005,Graphic and Design Studies,100501,Graphic Arts and Design Studies,CRICOS
098246A,Master of Design,Masters Degree (Coursework),1,10,Creative Arts,1005,Graphic and Design Studies,100501,Graphic Arts and Design Studies,CRICOS
098247M,Master of Professional Engineering (Accelerated),Masters Degree (Coursework),1,03,Engineering and Related Technologies,0399,Other Engineering and Related Technologies,039999,"Engineering and Related Technologies, n.e.c.",CRICOS
098597M,Graduate Diploma in Communication Disorders,Graduate Diploma,1,06,Health,0617,Rehabilitation Therapies,061799,"Rehabilitation Therapies, n.e.c.",CRICOS
099884G,Bachelor of Advanced Studies,Bachelor Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
099888C,Graduate Certificate in Transport,Graduate Certificate,1,03,Engineering and Related Technologies,0309,Civil Engineering,030909,Transport Engineering,CRICOS
099889B,Graduate Diploma in Transport,Graduate Diploma,1,03,Engineering and Related Technologies,0309,Civil Engineering,030909,Transport Engineering,CRICOS
099890J,Master of Transport,Masters Degree (Coursework),1,03,Engineering and Related Technologies,0309,Civil Engineering,030909,Transport Engineering,CRICOS
102403K,Master of Dental Public Health,Masters Degree (Coursework),1,06,Health,0607,Dental Studies,060701,Dentistry,CRICOS
102404J,Master of Biomedical Science (Infection and Immunity),Masters Degree (Coursework),1,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019901,Medical Science,CRICOS
102405H,Graduate Diploma in Biomedical Sciences (Infection and Immunity),Graduate Diploma,1,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019901,Medical Science,CRICOS
102406G,Graduate Certificate in Biomedical Science (Infection and Immunity),Graduate Certificate,1,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019901,Medical Science,CRICOS
102408E,Master of Complex Systems,Masters Degree (Coursework),1,03,Engineering and Related Technologies,0309,Civil Engineering,030999,"Civil Engineering, n.e.c.",CRICOS
103482J,Bachelor of Education (Early Childhood),Bachelor Degree,1,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,CRICOS
103483H,Bachelor of Education (Health and Physical Education),Bachelor Degree,1,07,Education,0701,Teacher Education,070103,Teacher Education: Primary,CRICOS
103484G,Bachelor of Education (Primary),Bachelor Degree,1,07,Education,0701,Teacher Education,070103,Teacher Education: Primary,CRICOS
103485F,Bachelor of Education (Secondary),Bachelor Degree,1,07,Education,0701,Teacher Education,070105,Teacher Education: Secondary,CRICOS
103486E,Bachelor of Education Studies,Bachelor Degree,1,07,Education,0703,Curriculum and Education Studies,070303,Education Studies,CRICOS
103487D,Bachelor of Education and Bachelor of Advanced Studies (Secondary),Bachelor Degree,1,07,Education,0701,Teacher Education,070105,Teacher Education: Secondary,CRICOS
105220D,Bachelor of Pharmacy and Management (Honours),Bachelor Honours Degree,1,06,Health,0605,Pharmacy,060501,Pharmacy,CRICOS
105221C,Bachelor of Pharmacy (Honours),Bachelor Honours Degree,1,06,Health,0605,Pharmacy,060501,Pharmacy,CRICOS
105222B,Bachelor of Pharmacy and Management (Honours) and Master of Pharmacy Practice,Masters Degree (Coursework),1,06,Health,0605,Pharmacy,060501,Pharmacy,CRICOS
105223A,Bachelor of Pharmacy (Honours) and Master of Pharmacy Practice,Masters Degree (Coursework),1,06,Health,0605,Pharmacy,060501,Pharmacy,CRICOS
105370A,Doctor of Clinical Dentistry (Oral Surgery),Masters Degree (Extended),1,06,Health,0607,Dental Studies,060799,"Dental Studies, n.e.c.",CRICOS
105726M,Master of Education (Research),Masters Degree (Research),1,07,Education,0703,Curriculum and Education Studies,070303,Education Studies,CRICOS
106003E,Master of Digital Health and Data Science,Masters Degree (Coursework),1,02,Information Technology,0203,Information Systems,020399,"Information Systems, n.e.c.",CRICOS
106004D,Graduate Certificate in Digital Health and Data Science,Graduate Certificate,1,02,Information Technology,0203,Information Systems,020399,"Information Systems, n.e.c.",CRICOS
106360F,Graduate Certificate of Social Justice,Graduate Certificate,1,09,Society and Culture,0903,Studies in Human Society,090301,Sociology,CRICOS
106361E,Graduate Diploma of Social Justice,Graduate Diploma,1,09,Society and Culture,0903,Studies in Human Society,090301,Sociology,CRICOS
106362D,Master of Social Justice,Masters Degree (Coursework),1,09,Society and Culture,0903,Studies in Human Society,090301,Sociology,CRICOS
107172B,Graduate Certificate in Professional Accounting,Graduate Certificate,1,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
107173A,Graduate Certificate in International Business,Graduate Certificate,1,08,Management and Commerce,0803,Business and Management,080311,International Business,CRICOS
