industry_label,males,females,persons
Wooden Structural Fitting and Component Manufacturing,11978,2313,14289
Veneer and Plywood Manufacturing,440,105,548
Reconstituted Wood Product Manufacturing,1221,257,1477
Other Wood Product Manufacturing nec,1747,495,2244
"Pulp, Paper and Converted Paper Product Manufacturing, nfd",638,172,810
"Pulp, Paper and Paperboard Manufacturing",1802,326,2128
"Converted Paper Product Manufacturing, nfd",9,3,9
Corrugated Paperboard and Paperboard Container Manufacturing,4054,789,4841
Paper Bag Manufacturing,293,183,475
Paper Stationery Manufacturing,1613,940,2555
Sanitary Paper Product Manufacturing,1182,372,1550
Other Converted Paper Product Manufacturing,984,406,1391
"Printing (including the Reproduction of Recorded Media), nfd",6,4,10
"Printing and Printing Support Services, nfd",24,14,41
Printing,14703,7665,22367
Printing Support Services,1148,874,2023
Reproduction of Recorded Media,285,214,501
"Petroleum and Coal Product Manufacturing, nfd",21,9,31
Petroleum Refining and Petroleum Fuel Manufacturing,1167,301,1475
Other Petroleum and Coal Product Manufacturing,744,188,938
"Basic Chemical and Chemical Product Manufacturing, nfd",1386,543,1935
"Basic Chemical Manufacturing, nfd",35,18,53
Industrial Gas Manufacturing,1460,425,1890
Basic Organic Chemical Manufacturing,388,150,536
Basic Inorganic Chemical Manufacturing,1147,356,1498
"Basic Polymer Manufacturing, nfd",94,29,122
Synthetic Resin and Synthetic Rubber Manufacturing,1858,570,2428
Other Basic Polymer Manufacturing,239,62,300
"Fertiliser and Pesticide Manufacturing, nfd",3,5,9
Fertiliser Manufacturing,2155,851,3003
Pesticide Manufacturing,634,273,907
"Pharmaceutical and Medicinal Product Manufacturing, nfd",89,77,171
Human Pharmaceutical and Medicinal Product Manufacturing,7616,7763,15386
Veterinary Pharmaceutical and Medicinal Product Manufacturing,263,277,543
"Cleaning Compound and Toiletry Preparation Manufacturing, nfd",25,20,47
Cleaning Compound Manufacturing,1782,1671,3455
Cosmetic and Toiletry Preparation Manufacturing,1306,1837,3142
"Other Basic Chemical Product Manufacturing, nfd",0,0,3
Photographic Chemical Product Manufacturing,6,0,6
Explosive Manufacturing,2092,696,2786
Other Basic Chemical Product Manufacturing nec,64,71,133
"Polymer Product and Rubber Product Manufacturing, nfd",429,121,545
"Polymer Product Manufacturing, nfd",2093,782,2877
Polymer Film and Sheet Packaging Material Manufacturing,1999,698,2696
Rigid and Semi-Rigid Polymer Product Manufacturing,5221,2125,7350
Polymer Foam Product Manufacturing,510,192,698
Tyre Manufacturing,1612,236,1850
Adhesive Manufacturing,848,403,1259
