industry_label,males,females,persons
Veterinary Services,4990,23596,28583
"Other Professional, Scientific and Technical Services, nfd",39,22,60
Professional Photographic Services,5217,6619,11833
"Other Professional, Scientific and Technical Services nec",5525,6605,12132
Computer System Design and Related Services,162046,59664,221712
"Total Professional, Scientific and Technical Services",515326,429767,945094
"Administrative and Support Services, nfd",146,580,723
"Administrative Services, nfd",197,919,1111
"Employment Services, nfd",124,184,308
Employment Placement and Recruitment Services,21803,35015,56817
Labour Supply Services,25780,24614,50396
Travel Agency and Tour Arrangement Services,7292,13245,20537
"Other Administrative Services, nfd",115,386,500
Office Administrative Services,4183,5870,10051
Document Preparation Services,497,1498,1997
Credit Reporting and Debt Collection Services,2411,2711,5123
Call Centre Operation,5000,5797,10792
Other Administrative Services nec,9642,11103,20747
"Building Cleaning, Pest Control and Other Support Services, nfd",27,16,46
"Building Cleaning, Pest Control and Gardening Services, nfd",89,37,123
Building and Other Industrial Cleaning Services,60251,85350,145595
Building Pest Control Services,6704,2455,9159
Gardening Services,37926,6588,44512
Packaging Services,5071,4820,9886
Total Administrative and Support Services,187252,201179,388432
"Public Administration and Safety, nfd",1003,1168,2174
"Public Administration, nfd",4761,5944,10707
Central Government Administration,52788,82504,135293
State Government Administration,70962,103376,174336
Local Government Administration,78462,77947,156402
Justice,5498,9882,15383
"Government Representation, nfd",3,0,4
Domestic Government Representation,311,401,710
Foreign Government Representation,471,601,1076
Defence,62726,22292,85021
"Public Order, Safety and Regulatory Services, nfd",178,91,271
"Public Order and Safety Services, nfd",202,91,288
Police Services,52018,30047,82065
Investigation and Security Services,37990,10695,48686
Fire Protection and Other Emergency Services,17657,5548,23207
Correctional and Detention Services,20445,17173,37616
Other Public Order and Safety Services,7879,3715,11594
Regulatory Services,5745,6466,12213
Total Public Administration and Safety,419100,377933,797031
"Education and Training, nfd",9338,17463,26801
"Preschool and School Education, nfd",102,472,573
Preschool Education,3163,72458,75613
"School Education, nfd",2254,5953,8200
Primary Education,39433,225820,265249
Secondary Education,67320,138043,205360
Combined Primary and Secondary Education,41543,105445,146993
Special School Education,2879,14122,16996
"Tertiary Education, nfd",625,1074,1701
Technical and Vocational Education and Training,23665,34341,58010
Higher Education,65370,93157,158526
"Adult, Community and Other Education, nfd",266,425,695
"Adult, Community and Other Education, nfd",124,186,314
Sports and Physical Recreation Instruction,13168,19985,33154
Arts Education,5766,16412,22182
"Adult, Community and Other Education nec",14049,23366,37415
Educational Support Services,1331,2196,3527
Total Education and Training,290405,770920,1061320
"Health Care and Social Assistance, nfd",6592,21555,28146
"Hospitals, nfd",14,30,46
Hospitals (except Psychiatric Hospitals),123424,421735,545158
Psychiatric Hospitals,1497,3107,4610
"Medical and Other Health Care Services, nfd",6493,19677,26173
"Medical Services, nfd",96,310,412
General Practice Medical Services,28978,80668,109649
Specialist Medical Services,9733,30160,39894
Pathology and Diagnostic Imaging Services,13498,40215,53712
"Allied Health Services, nfd",454,1673,2126
Dental Services,10992,45818,56814
Optometry and Optical Dispensing,5497,14002,19497
Physiotherapy Services,9260,18982,28243
Chiropractic and Osteopathic Services,3314,6882,10193
Other Allied Health Services,17528,75603,93132
"Other Health Care Services, nfd",22,64,92
Ambulance Services,11427,11460,22889
Other Health Care Services nec,2151,6901,9048
"Residential Care Services, nfd",68,195,259
Aged Care Residential Services,45074,213203,258274
Other Residential Care Services,7132,17561,24692
"Social Assistance Services, nfd",6217,18981,25194
Child Care Services,7236,108010,115250
Other Social Assistance Services,73840,204388,278221
Total Health Care and Social Assistance,390529,1361188,1751717
"Arts and Recreation Services, nfd",2494,2522,5019
"Heritage Activities, nfd",58,56,115
Museum Operation,3641,6252,9889
"Parks and Gardens Operations, nfd",122,30,154
Zoological and Botanical Gardens Operation,1619,2652,4269
Nature Reserves and Conservation Parks Operation,5485,3252,8733
"Creative and Performing Arts Activities, nfd",513,891,1404
Performing Arts Operation,2961,3257,6218
"Creative Artists, Musicians, Writers and Performers",11033,13330,24366
Performing Arts Venue Operation,2147,2662,4810
"Sports and Recreation Activities, nfd",1200,920,2115
"Sports and Physical Recreation Activities, nfd",1043,867,1910
Health and Fitness Centres and Gymnasia Operation,9921,17600,27522
Sports and Physical Recreation Clubs and Sports Professionals,9523,6119,15637
"Sports and Physical Recreation Venues, Grounds and Facilities Operation",11049,7889,18938
Sports and Physical Recreation Administrative Service,4315,3189,7502
"Horse and Dog Racing Activities, nfd",22,28,46
Horse and Dog Racing Administration and Track Operation,1329,888,2216
Other Horse and Dog Racing Activities,4476,3838,8316
"Amusement and Other Recreation Activities, nfd",125,137,265
Amusement Parks and Centres Operation,3602,3885,7486
Amusement and Other Recreational Activities nec,2062,2448,4510
"Gambling Activities, nfd",21,11,31
Casino Operation,9299,7049,16350
Lottery Operation,573,902,1477
Other Gambling Activities,6017,3156,9176
Total Arts and Recreation Services,94655,93826,188479
"Other Services, nfd",179,101,279
"Repair and Maintenance, nfd",6796,1384,8181
"Automotive Repair and Maintenance, nfd",1802,273,2077
Automotive Electrical Services,5457,956,6420
"Automotive Body, Paint and Interior Repair",30768,5455,36224
Other Automotive Repair and Maintenance,63251,11540,74789
"Machinery and Equipment Repair and Maintenance, nfd",1739,339,2074
Domestic Appliance Repair and Maintenance,7300,1677,8973
Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance,6635,1784,8416
Other Machinery and Equipment Repair and Maintenance,24331,4222,28553
"Other Repair and Maintenance, nfd",169,55,230
Clothing and Footwear Repair,963,1462,2431
Other Repair and Maintenance nec,4675,1240,5914
"Personal and Other Services, nfd",42,127,167
"Personal Care Services, nfd",24,112,136
Hairdressing and Beauty Services,12579,85171,97748
Diet and Weight Reduction Centre Operation,84,417,507
"Funeral, Crematorium and Cemetery Services",3658,3840,7499
"Other Personal Services, nfd",52,156,212
Laundry and Dry-Cleaning Services,7732,7792,15520
Photographic Film Processing,445,484,933
Parking Services,1726,578,2304
Brothel Keeping and Prostitution Services,208,518,726
Other Personal Services nec,14000,25844,39843
Religious Services,15819,16157,31974
"Civic, Professional and Other Interest Group Services, nfd",164,407,570
Business and Professional Association Services,3452,5470,8925
Labour Association Services,2181,2901,5077
Other Interest Group Services nec,11546,23987,35532
"Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use, nfd",12,38,47
Private Households Employing Staff,78,3082,3151
Undifferentiated Goods-Producing Activities of Households for Own Use,0,0,0
Undifferentiated Service-Producing Activities of Households for Own Use,8,23,34
Total Other Services,227859,207598,435459
Inadequately described,231303,138630,369939
Not stated,89169,67826,156996
Total,6200207,5849207,12049410
