occupation_code,onet_code
252231,25-1194.00
252231,25-2032.00
261134,19-3033.00
261134,19-3039.02
261134,19-3039.03
261231,19-3032.00
261231,19-3033.00
261231,19-3034.00
261331,11-9151.00
261331,19-3033.00
261331,21-1011.00
261931,29-1125.00
261931,29-1129.01
261931,29-1129.02
261933,19-3039.03
261933,29-1122.00
261933,29-1125.00
262131,29-1011.00
262131,29-1081.00
262131,29-1215.00
262231,29-1128.00
262331,21-1015.00
262331,29-1122.00
262331,29-1122.01
262431,29-1011.00
262431,29-1081.00
262431,29-1122.00
262531,29-1011.00
262531,29-1021.00
262531,29-1022.00
262931,29-1021.00
262931,29-1022.00
262931,29-1023.00
263131,29-2033.00
263132,29-1124.00
263132,29-1126.00
263132,29-1212.00
263231,21-1091.00
263231,29-1031.00
263231,29-2051.00
263331,29-1041.00
263331,29-1071.00
263331,29-1122.01
263432,29-1051.00
263432,29-2052.00
263432,31-9095.00
263931,29-1127.00
263931,29-1181.00
263931,31-9099.01
263935,29-1022.00
263935,29-1041.00
263935,29-1081.00
264231,29-1171.00
264231,29-1212.00
264231,29-1214.00
264332,29-1212.00
264342,29-1217.00
264399,29-1229.04
264431,29-1223.00
264638,29-1229.03
264931,29-1213.00
264937,29-1224.00
265131,29-1141.04
265131,29-1161.00
265131,29-1171.00
265431,29-1171.00
269131,29-1011.00
269131,29-1021.00
269131,29-1022.00
269231,29-1022.00
269231,29-1023.00
269231,29-1024.00
269232,29-1021.00
269232,29-1022.00
269232,29-1023.00
269332,21-1094.00
269332,29-2051.00
269332,31-1121.00
269432,29-2043.00
269531,19-1011.00
269531,29-1131.00
269531,29-2056.00
269532,29-2056.00
269532,29-9093.00
269931,29-1291.00
269931,29-1299.01
269931,29-2051.00
269999,29-1011.00
269999,29-1071.00
269999,29-1081.00
271133,15-1212.00
271136,13-1199.04
271136,15-1212.00
271136,15-1244.00
271231,15-1242.00
271231,15-1243.00
271231,15-1243.01
271232,15-1231.00
271232,15-1244.00
272131,15-1231.00
272131,15-1241.00
272131,15-1241.01
272233,15-1253.00
272331,15-1231.00
272331,15-1241.01
272331,17-2072.01
273131,15-1252.00
273131,15-1255.01
273132,15-1251.00
273132,15-1254.00
273132,15-1255.00
273232,15-1211.00
273234,15-1211.00
273234,15-1211.01
273234,15-1221.00
273331,15-1242.00
273331,15-1299.07
273331,15-1299.08
273333,15-1211.00
273333,15-1251.00
273333,15-1252.00
281233,13-1041.06
281233,23-1011.00
281233,23-1012.00
281299,13-1041.03
281299,13-1071.00
281299,13-1075.00
299132,53-2021.00
299132,53-2022.00
299132,53-6051.01
299133,53-2011.00
299134,53-2011.00
299134,53-2012.00
311231,29-1071.01
311231,29-1126.00
311231,29-1151.00
311232,29-1021.00
311232,29-1022.00
311232,29-1023.00
311233,29-2011.00
311233,29-2012.00
311233,29-2012.01
311299,29-1023.00
311299,29-1024.00
311299,29-2055.00
311431,29-1071.00
311431,29-9093.00
311431,31-9092.00
311531,19-4031.00
311532,17-1022.01
311532,17-3031.00
311532,19-2042.00
312134,17-1012.00
312134,27-1023.00
312134,27-1025.00
312135,15-1299.02
312135,17-1021.00
312135,17-1022.00
312231,13-1041.04
312231,17-3022.00
312231,47-4011.00
312432,47-1011.00
312432,53-1042.00
313132,13-1041.04
313132,17-2051.00
313132,17-2051.01
313232,17-2071.00
313232,17-3023.00
313232,47-3013.00
313433,53-6051.00
313436,53-5011.00
313436,53-5021.00
313932,17-2072.00
313932,17-2072.01
313932,17-3023.00
313934,17-2011.00
313934,17-3021.00
313934,17-3024.00
314136,15-1254.00
314136,15-1255.00
314136,15-1299.01
321131,35-1011.00
321131,35-2012.00
321131,35-2013.00
322131,51-3011.00
322331,35-1011.00
322331,35-2011.00
322331,35-2012.00
331131,47-2011.00
331131,47-2211.00
331931,51-4022.00
331933,39-2021.00
